Scenario,Policy,Seed,Time,TxTotal,TxPerNodePerMin,RMSE,RangeResidual_MAE,AngleResidual_MAE
few_moving,baseline,1012,0,0,,40.425794479498926,NaN,NaN
few_moving,baseline,1012,1,0,0,40.425794479498926,NaN,NaN
few_moving,baseline,1012,2,27,81,40.407029380540244,7.700485667816568,1.4524587102382118
few_moving,baseline,1012,3,34,68,40.21273710231133,6.35506218918696,1.531534062665804
few_moving,baseline,1012,4,61,91.5,40.076418957570745,5.041937914831686,1.570247262204054
few_moving,baseline,1012,5,68,81.60000000000001,39.99451811614699,3.8837739060590373,1.5926260187958234
few_moving,baseline,1012,6,95,95,39.95028679718894,2.9864444117748397,1.624946678803291
few_moving,baseline,1012,7,102,87.42857142857142,39.926319005347295,2.256091526438346,1.645650740605575
few_moving,baseline,1012,8,128,96,39.9288288451089,1.7547005746798432,1.666584365802519
few_moving,baseline,1012,9,134,89.33333333333334,39.93660913976216,1.6255530153453976,1.7372352902166506
few_moving,baseline,1012,10,160,96,39.96954188137275,1.7612987576693808,1.7660549005395194
few_moving,baseline,1012,11,167,91.0909090909091,40.039566691468224,1.9048064923422814,1.7821003860665576
few_moving,baseline,1012,12,192,95.99999999999999,40.12804182748931,2.0341583556654403,1.8064574111771723
few_moving,baseline,1012,13,198,91.38461538461539,40.14007740557793,2.2357670486891745,1.8095995043589916
few_moving,baseline,1012,14,225,96.42857142857143,40.20817612790108,2.4086928876835025,1.8413254005401813
few_moving,baseline,1012,15,231,92.4,40.36150504846781,2.4815037111209284,1.8475505706019935
few_moving,baseline,1012,16,256,96,40.49558004091007,2.547301249341203,1.8726311996615408
few_moving,baseline,1012,17,263,92.82352941176471,40.645739542291004,2.671981130994891,1.8469829931377315
few_moving,baseline,1012,18,289,96.33333333333333,40.7904226783213,2.811353346974741,1.87833537160279
few_moving,baseline,1012,19,296,93.47368421052633,40.94741148373674,2.9584609625562774,1.8989503132623287
few_moving,baseline,1012,20,321,96.30000000000001,41.08657295263325,3.1084776837928274,1.9108924354860204
few_moving,baseline,1012,21,327,93.42857142857144,41.17305423169163,3.2746639043528165,1.9275094525654402
few_moving,baseline,1012,22,353,96.27272727272727,41.2697700860025,3.4342973074869354,1.9465230721269349
few_moving,baseline,1012,23,359,93.65217391304347,41.318962607564174,3.6561826609871213,1.9466420822551742
few_moving,baseline,1012,24,386,96.5,41.39089908681445,3.7979105351225724,1.954935572842685
few_moving,baseline,1012,25,391,93.84,41.521237308316074,3.783349829936512,1.9604404008760241
few_moving,baseline,1012,26,418,96.46153846153845,41.61781672531663,3.82350538432828,1.96060368876885
few_moving,baseline,1012,27,424,94.22222222222221,41.67051678751763,3.9478571036132766,1.9620459360921312
few_moving,baseline,1012,28,451,96.64285714285714,41.731705714361546,4.031169144754855,1.9748855170167552
few_moving,baseline,1012,29,457,94.55172413793105,41.798183182530146,4.09258916397075,1.9965593407848452
few_moving,baseline,1012,30,482,96.4,41.876413333475774,4.176349943733113,2.019032058853783
few_moving,baseline,1012,31,491,95.03225806451613,41.96225858300764,4.255341682151436,2.0299064004510905
few_moving,baseline,1012,32,518,97.125,42.033639632641346,4.313175858987142,2.0377911516288107
few_moving,baseline,1012,33,525,95.45454545454545,42.09249510252433,4.3946599061047955,2.049484442896653
few_moving,baseline,1012,34,551,97.23529411764706,42.1453841939447,4.457715509283958,2.0661455263410105
few_moving,baseline,1012,35,557,95.48571428571428,42.1748580433685,4.454252837700139,2.0647812359091122
few_moving,baseline,1012,36,587,97.83333333333334,42.2092566216548,4.455321438696093,2.0674428644058516
few_moving,baseline,1012,37,593,96.16216216216215,42.25083427846641,4.459078385506998,2.0808833262922355
few_moving,baseline,1012,38,620,97.89473684210527,42.29474778799833,4.496763851979383,2.0836295430203924
few_moving,baseline,1012,39,626,96.3076923076923,42.37202214244932,4.581124051926137,2.0815695791022413
few_moving,baseline,1012,40,653,97.95,42.42503098214519,4.638255685727044,2.0891302001229306
few_moving,baseline,1012,41,662,96.8780487804878,42.48104748488156,4.653500353014506,2.102139981270237
few_moving,baseline,1012,42,689,98.42857142857144,42.52863471382459,4.686482925634998,2.0869996227414656
few_moving,baseline,1012,43,695,96.97674418604652,42.52018142628634,4.733012432417974,2.0874828366113123
few_moving,baseline,1012,44,722,98.45454545454547,42.52301395960014,4.7505118589577195,2.0912714948639564
few_moving,baseline,1012,45,727,96.93333333333334,42.56558984273748,4.779547815196746,2.1090522682408857
few_moving,baseline,1012,46,756,98.60869565217389,42.617000340994565,4.799756827955524,2.136223864240572
few_moving,baseline,1012,47,763,97.40425531914893,42.681111677305566,4.910058313724041,2.120765341189196
few_moving,baseline,1012,48,790,98.75,42.73191935745538,4.9787292352725645,2.1386885353601204
few_moving,baseline,1012,49,796,97.46938775510203,42.74378350520326,4.960119481994129,2.1253885260117054
few_moving,baseline,1012,50,822,98.64,42.75901033860213,4.9700967053978005,2.1098374869936323
few_moving,baseline,1012,51,832,97.88235294117648,42.7411713604061,4.917354465638555,2.0907129437191623
few_moving,baseline,1012,52,859,99.11538461538461,42.752057673482106,4.885846998104259,2.102775857367979
few_moving,baseline,1012,53,866,98.0377358490566,42.82669157752212,4.948680261868298,2.128501021837522
few_moving,baseline,1012,54,893,99.22222222222221,42.88638253699543,5.014575068584027,2.133224678451888
