Scenario,Time,Baseline_Tx,Baseline_TxPerNodePerMin,Baseline_RMSE,ETM_Tx,ETM_TxPerNodePerMin,ETM_RMSE,Baseline_MAE,Baseline_RMSE_Aligned,Baseline_MAE_Aligned,Baseline_PairwiseDist_MAE,Baseline_RangeResidual_MAE,Baseline_AngleResidual_MAE,ETM_MAE,ETM_RMSE_Aligned,ETM_MAE_Aligned,ETM_PairwiseDist_MAE,ETM_RangeResidual_MAE,ETM_AngleResidual_MAE
few_moving,0,0,,36.82155104595928,0,,36.82155104595928,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN
few_moving,1,0,0,36.82155104595928,33,198,36.76250126111907,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.57085794014965,18.126956967267176,17.18397422814493,24.044115689926393,10.189498755609018,1.8356781330998289
few_moving,2,33,99,36.758926296372714,78,234,36.71674073163438,33.5683133837787,18.126733729935978,17.182518948629507,24.045449697400418,10.192668386094274,1.8294885358314528,33.48627312438294,18.073163878746023,17.187284810911372,23.696143802718804,9.92883786970526,2.1761055443720605
few_moving,3,44,88,36.71220441489194,123,246,36.696265389359034,33.47925081124693,18.072217869367073,17.18535462276418,23.700010700711577,9.933814154161372,2.1719770834877936,33.43849151258915,18.03608694876199,17.20593190043987,23.26256626573641,9.525349213717224,2.234126673080575
few_moving,4,77,115.5,36.70386603062306,169,253.49999999999997,36.70554553623297,33.445798131153225,17.998324231069883,17.168597721011782,23.245997137602373,9.523236361988141,2.2468733508263923,33.41700411708652,17.955860198240956,17.179078939093714,22.7825270128991,9.083351553161673,2.265801629553254
few_moving,5,90,108,36.71373952207706,213,255.60000000000002,36.72567448545768,33.42227686226826,17.922238951724346,17.147153637060093,22.764614420649323,9.083911061168825,2.285494472111119,33.43147548433858,17.874938024562972,17.156455727909833,22.286669056292055,8.633210639264393,2.336294378528413
few_moving,6,122,121.99999999999999,36.72665474368159,260,260,36.75447375070987,33.40751486945197,17.868862232964016,17.145609514993026,22.283230947648818,8.632986811508035,2.312731365560359,33.43549924598667,17.84821605862477,17.181242512370016,21.82454181013458,8.199670836401504,2.352562529523231
few_moving,7,135,115.71428571428571,36.74265457419026,298,255.42857142857144,36.83626368689191,33.41002744212684,17.843442830699928,17.181871225343347,21.824805932177387,8.193108966263884,2.338882839274634,33.4808753779106,17.769593018288333,17.148312590725887,21.32587842222681,7.767049290590861,2.3199176813492537
few_moving,8,168,126,36.83099945469196,304,228,36.902549499011016,33.47391308489141,17.805441332886648,17.188622191318156,21.346432939431853,7.76253204319062,2.31344888482008,33.52211903321519,17.734472418926842,17.16040759401391,20.821249144833395,7.311840889808294,2.2829998501146576
few_moving,9,181,120.66666666666669,36.90515221845132,304,202.66666666666666,36.96791864346718,33.521181867288824,17.757535821891015,17.177935726926783,20.85197646294421,7.33067547643888,2.2727351920236223,33.567065677204766,17.710289688852196,17.172449521171174,20.333297052282987,6.889846530656015,2.273956227297335
