Scenario,Time,Baseline_Tx,Baseline_TxPerNodePerMin,Baseline_RMSE,ETM_Tx,ETM_TxPerNodePerMin,ETM_RMSE,Baseline_MAE,Baseline_RMSE_Aligned,Baseline_MAE_Aligned,Baseline_PairwiseDist_MAE,Baseline_RangeResidual_MAE,Baseline_AngleResidual_MAE,ETM_MAE,ETM_RMSE_Aligned,ETM_MAE_Aligned,ETM_PairwiseDist_MAE,ETM_RangeResidual_MAE,ETM_AngleResidual_MAE
none_moving,0,0,,36.82155104595928,0,,36.82155104595928,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN
none_moving,1,0,0,36.82155104595928,31,186,36.75406385080542,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.55158639476218,18.091224801205648,17.15372249717398,24.036834712796082,10.146656736580765,1.769344715232941
none_moving,2,33,99,36.75726682082423,78,234,36.712688977461106,33.56768877702444,18.12433383124457,17.178802671505697,24.046089286457896,10.170787200005966,1.8597851462545703,33.470344969523836,18.05200613609413,17.166007189886656,23.688852657136763,10.023687861904552,2.1612030092540304
none_moving,3,45,90,36.703472142456654,123,246,36.707265830919404,33.466851559761935,18.090030622038196,17.201587461850067,23.70522647375516,9.97325788942923,2.148140021607709,33.438403858897786,17.996003359919413,17.167691112776772,23.241808824094708,9.583594212446831,2.2508901928287206
none_moving,4,79,118.5,36.687310363759764,169,253.49999999999997,36.71301634547582,33.424465543778524,18.026844693886083,17.194412785605408,23.255308093697387,9.56516258480418,2.240696720697559,33.418857614727855,17.935569149357114,17.161536254987254,22.768628404935644,9.115534693227213,2.2899770360272287
none_moving,5,92,110.39999999999999,36.68671414157112,216,259.20000000000005,36.738824492627046,33.39923998854073,17.93721333054442,17.16080342016438,22.76312496755163,9.101136590443668,2.2886848947824947,33.42120757261893,17.864271255051,17.143172623529647,22.274449802679648,8.665073096126907,2.3142653013292684
none_moving,6,126,125.99999999999999,36.694774184154,262,262,36.75153804331138,33.38753505420972,17.868728197522966,17.149159829050042,22.27584032861944,8.65679570027805,2.3380618299704805,33.408849586450586,17.834356045312987,17.165813226036924,21.83744174672808,8.255253574390787,2.3353970561802435
none_moving,7,138,118.28571428571429,36.75963010196675,304,260.57142857142856,36.80571177583397,33.4220172307704,17.820656790802747,17.154815141808793,21.81134771584831,8.170537149498582,2.3449889580151426,33.438128806276374,17.806610783011667,17.189670236435866,21.358089038334995,7.797779910334519,2.308630673649417
none_moving,8,172,129,36.812435075288725,311,233.25,36.89064060788204,33.46690372795312,17.819070310029748,17.206844652376574,21.345923929079888,7.7422109038504185,2.3193756870252007,33.488849695160546,17.773230847501747,17.18741081938661,20.88078076721721,7.2756436384506875,2.2831812477279105
none_moving,9,185,123.33333333333334,36.86167000662939,311,207.33333333333334,36.94430621258253,33.49885684131566,17.7907285964167,17.22706758577807,20.85369541910171,7.241105382797398,2.318422842913938,33.51893025384746,17.767722277920004,17.209682990144827,20.412977275641953,6.8700718268355905,2.2704388236864594
none_moving,10,217,130.20000000000002,36.98114289171869,311,186.60000000000002,37.00148370580431,33.58887504043791,17.77295817503149,17.235245253544324,20.38750398492571,6.846220212950153,2.313920419105529,33.55575218721874,17.771240669941708,17.23184546583274,19.943001487425512,6.467755289643004,2.2662137262765363
none_moving,11,229,124.9090909090909,37.0584539824543,311,169.63636363636365,37.0634610042804,33.63427868552491,17.76875180004786,17.242258060490435,19.904592917042667,6.482494566604624,2.2893566677032076,33.59944837510672,17.78162223245442,17.25210616854457,19.46480037485243,6.0562011218482175,2.2664044156181444
none_moving,12,262,131,37.07031666711079,311,155.5,37.13219982186967,33.63802232215861,17.782041167435413,17.286870128469154,19.418870870753615,6.0391971329324035,2.3008954756367785,33.65125004701131,17.797224967405807,17.268977534170766,18.989319997998436,5.689922072660922,2.268445558041944
none_moving,13,274,126.46153846153845,37.194451268131765,311,143.53846153846155,37.20842139157042,33.73624826407949,17.76411180399974,17.260431344623434,18.92606211913471,5.6111922185917065,2.3030558675679482,33.71150969149199,17.81760508239825,17.28229756302574,18.508732250699026,5.328620412816086,2.2736028467849385
none_moving,14,307,131.57142857142856,37.26175241559945,311,133.28571428571428,37.2923365482278,33.785931706381284,17.746877098319672,17.2652513698966,18.41610638228592,5.192139683428043,2.2803324857065093,33.78023399846358,17.842744256855667,17.292302642439903,18.019845589467085,4.960482834516542,2.2810969291062793
none_moving,15,319,127.6,37.34779846639727,311,124.4,37.38402587897268,33.87142957672647,17.800421044844285,17.302119065913537,17.96841507819337,4.929246292547153,2.284937766152601,33.85736652745025,17.872744523281412,17.29919804719776,17.525520245438162,4.587406668826664,2.2904638771374772
none_moving,16,351,131.625,37.40201455132739,311,116.625,37.491245115266985,33.95627209811142,17.869353588375937,17.37503171843903,17.53892777718382,4.652279279131228,2.2913625697479496,33.95187938880444,17.90012315779393,17.29454490374848,17.038107455235146,4.217240946712064,2.2987758065743527
none_moving,17,365,128.8235294117647,37.56268388409062,311,109.76470588235294,37.62232096689148,34.076218469159116,17.88093390559728,17.336449475204304,17.0653473206097,4.303428290289447,2.304445788057842,34.07368727759781,17.913793019381394,17.269938916160918,16.597872826965503,3.8950491247950736,2.303741117076215
none_moving,18,396,132,37.68289338907688,311,103.66666666666667,37.77200700442285,34.18388125166539,17.912766772822618,17.31815435442742,16.65139822979256,3.995443590198119,2.3170678555165503,34.21677200480888,17.914090115401,17.231155218177413,16.177858143483295,3.6181287490151743,2.3088161351080236
none_moving,19,409,129.1578947368421,37.82149663518492,311,98.21052631578948,37.93374545891771,34.316924454260324,17.920222251437334,17.300735935063024,16.25087667837519,3.710280939335646,2.331590564978892,34.373843378115346,17.90652766585928,17.184262754482713,15.797694494111072,3.3443349427373996,2.3147042665765794
none_moving,20,442,132.60000000000002,37.97941740914867,311,93.30000000000001,38.1035460723196,34.48105670239987,17.908931374086084,17.257472007550465,15.858426700801518,3.423992813143232,2.3180403822468354,34.54039693879268,17.89451643928828,17.13240694783331,15.438414885984319,3.0752417403027517,2.3215369533715737
