Scenario,Policy,Seed,Time,TxTotal,TxPerNodePerMin,RMSE,RangeResidual_MAE,AngleResidual_MAE
many_moving,baseline,1043,0,0,,40.425794479498926,NaN,NaN
many_moving,baseline,1043,1,0,0,40.425794479498926,NaN,NaN
many_moving,baseline,1043,2,25,75,40.38572751466969,8.191190704382995,1.5380900285436525
many_moving,baseline,1043,3,32,64,40.137567793941464,6.815266637235885,1.230804331994189
many_moving,baseline,1043,4,58,87,39.94671502490567,6.112854068026466,1.3824191479285677
many_moving,baseline,1043,5,64,76.80000000000001,39.8379944565769,5.524968628767532,1.5215065222924802
many_moving,baseline,1043,6,90,90,39.73593978896029,5.116521341710021,1.7534206596167075
many_moving,baseline,1043,7,96,82.28571428571428,39.63612926343527,4.592301886460626,2.035686055858124
many_moving,baseline,1043,8,120,90,39.54817624190285,4.097644031483591,2.1049778205871066
many_moving,baseline,1043,9,127,84.66666666666667,39.424844920340846,3.8005289650670444,2.148203680946302
many_moving,baseline,1043,10,154,92.4,39.34151064154428,3.6391561809852626,2.179560893187274
many_moving,baseline,1043,11,161,87.81818181818183,39.344986778410316,3.4478877377719153,2.2882679311317875
many_moving,baseline,1043,12,186,93,39.357503334574936,3.2314433508165656,2.4134673587568045
many_moving,baseline,1043,13,192,88.61538461538461,39.4152052291304,3.115834737310195,2.4080504000937473
many_moving,baseline,1043,14,219,93.85714285714285,39.48010360802981,3.077082624970624,2.3826297803302636
many_moving,baseline,1043,15,226,90.4,39.47331176524536,3.3274443578978925,2.3941784327348925
many_moving,baseline,1043,16,253,94.875,39.520296011415965,3.537150205132048,2.3926995610630937
many_moving,baseline,1043,17,260,91.76470588235294,39.606665531995375,3.7061655563075813,2.387078242288786
many_moving,baseline,1043,18,287,95.66666666666667,39.70686152613199,3.8075000257817986,2.404399783146587
many_moving,baseline,1043,19,294,92.84210526315789,39.862086246825555,3.857469376432975,2.42489451515337
many_moving,baseline,1043,20,321,96.30000000000001,39.992176571078744,3.9260474659493574,2.436042262446606
many_moving,baseline,1043,21,328,93.71428571428571,40.081915705141896,4.017855177581864,2.4496377145766135
many_moving,baseline,1043,22,354,96.54545454545455,40.17985795923415,4.140276453759606,2.4517342550974526
many_moving,baseline,1043,23,360,93.91304347826086,40.26645364896156,4.01355942975905,2.4623584256270816
many_moving,baseline,1043,24,385,96.25,40.34907859008406,3.9897954285153316,2.449333080735492
many_moving,baseline,1043,25,392,94.08,40.46186140315477,4.080918262815493,2.4613173218450397
many_moving,baseline,1043,26,419,96.69230769230768,40.5671730039693,4.139665029973968,2.4845515164939536
many_moving,baseline,1043,27,426,94.66666666666667,40.661746088859736,4.095707231181029,2.4951766043863723
many_moving,baseline,1043,28,453,97.07142857142857,40.74072874970076,4.0577332659740275,2.495473123941037
many_moving,baseline,1043,29,460,95.17241379310344,40.83080146486338,4.0229849443602035,2.5033851230691266
many_moving,baseline,1043,30,485,97,40.90612755115323,4.041548112220577,2.493353905043796
many_moving,baseline,1043,31,495,95.80645161290322,40.956386366744276,4.080662884282908,2.511012625799199
many_moving,baseline,1043,32,522,97.875,41.011728058252224,4.113992471810015,2.5235724096501215
many_moving,baseline,1043,33,529,96.18181818181817,41.07960824291469,4.076506098190909,2.517216109274963
many_moving,baseline,1043,34,555,97.94117647058823,41.145066906824034,4.003165265851038,2.5286042488309235
many_moving,baseline,1043,35,562,96.34285714285714,41.2115099898769,4.010053427009905,2.4894745765995063
many_moving,baseline,1043,36,590,98.33333333333334,41.266375107828146,3.9936859036994017,2.4956045261390067
many_moving,baseline,1043,37,596,96.64864864864865,41.30313066625744,4.079496906236934,2.51424302690821
many_moving,baseline,1043,38,622,98.21052631578948,41.33268545608732,4.028884130501983,2.537262362739147
many_moving,baseline,1043,39,629,96.76923076923076,41.36807306655774,3.691865621504277,2.55661249134615
many_moving,baseline,1043,40,656,98.39999999999999,41.41652492128016,3.5709499734992813,2.5293128739258677
many_moving,baseline,1043,41,666,97.46341463414633,41.46584730135984,3.752961804501406,2.5109070425876503
many_moving,baseline,1043,42,693,99,41.50920713038885,3.8889261068888414,2.5305272595810484
many_moving,baseline,1043,43,699,97.53488372093024,41.528960834199424,3.905249485577977,2.551162196637002
many_moving,baseline,1043,44,726,99,41.546364716103206,3.9216636357365644,2.5752142475064437
many_moving,baseline,1043,45,733,97.73333333333333,41.60165179377055,4.003827477211135,2.5611669170855107
many_moving,baseline,1043,46,763,99.52173913043477,41.647800788825386,4.091860523245971,2.571189517805325
many_moving,baseline,1043,47,769,98.17021276595746,41.680779421101946,4.080220570511158,2.5601490515871466
many_moving,baseline,1043,48,795,99.375,41.70648999433123,4.082363144621942,2.570389948535855
many_moving,baseline,1043,49,801,98.08163265306122,41.71843676210931,4.104011769845597,2.578836961182977
many_moving,baseline,1043,50,825,99,41.73892101330176,4.121731738086714,2.588640738478069
many_moving,baseline,1043,51,835,98.23529411764706,41.74172708871511,4.120426108620794,2.5740240726113583
many_moving,baseline,1043,52,862,99.46153846153847,41.75523460658815,4.138706457069013,2.5583174525039807
many_moving,baseline,1043,53,868,98.26415094339623,41.79902507201531,4.237211873648575,2.59480720657127
many_moving,baseline,1043,54,894,99.33333333333334,41.84273412465066,4.304098792755394,2.587511140049173
many_moving,baseline,1043,55,900,98.18181818181819,41.879052709858406,4.306163154491495,2.612752908253054
many_moving,baseline,1043,56,930,99.64285714285714,41.90866970617712,4.346309395292123,2.611160954118243
many_moving,baseline,1043,57,937,98.63157894736842,41.94503634653692,4.350953711940243,2.599776536757934
many_moving,baseline,1043,58,964,99.72413793103449,41.97877470912727,4.347900210352046,2.611311089656468
many_moving,baseline,1043,59,970,98.64406779661017,41.980571522089775,4.385099628567456,2.5985612356591363
many_moving,baseline,1043,60,994,99.4,41.99039251404155,4.430852472019494,2.596555967041614
many_moving,baseline,1043,61,1004,98.75409836065575,42.015387157828684,4.4864354847130254,2.5850767823481378
many_moving,baseline,1043,62,1030,99.6774193548387,42.02852614915186,4.522034138188478,2.596431797170644
many_moving,baseline,1043,63,1037,98.76190476190476,42.02296275574276,4.4808087196893505,2.602727106283972
many_moving,baseline,1043,64,1064,99.75,42.027319248234946,4.473746253802696,2.6101570248597374
many_moving,baseline,1043,65,1071,98.86153846153846,42.07328091252686,4.563624802056403,2.620713817445369
many_moving,baseline,1043,66,1101,100.09090909090908,42.12126249134277,4.615027418807554,2.619989957458881
many_moving,baseline,1043,67,1107,99.13432835820896,42.12692768844949,4.664749042278316,2.6153600534119232
many_moving,baseline,1043,68,1133,99.97058823529412,42.13148787945969,4.691670768372257,2.630060885726619
many_moving,baseline,1043,69,1140,99.1304347826087,42.15701081255923,4.691833857969082,2.6420375203778237
many_moving,baseline,1043,70,1166,99.94285714285714,42.181454411993236,4.727313006253968,2.6231547565734408
many_moving,baseline,1043,71,1175,99.29577464788733,42.18808906957526,4.753422328399796,2.6469265279916656
many_moving,baseline,1043,72,1201,100.08333333333333,42.195570443146416,4.769178493624937,2.649991778038615
many_moving,baseline,1043,73,1207,99.2054794520548,42.23893991591336,4.793468975617015,2.6325710640400493
many_moving,baseline,1043,74,1233,99.97297297297297,42.27667595259411,4.862634715795358,2.6438182773434455
many_moving,baseline,1043,75,1240,99.2,42.26022530207752,4.929167445761881,2.6306977898446333
many_moving,baseline,1043,76,1270,100.26315789473685,42.25184068954277,4.945830765984468,2.644592581647494
many_moving,baseline,1043,77,1277,99.5064935064935,42.23470509556366,4.95406730000648,2.6388997027252503
many_moving,baseline,1043,78,1304,100.3076923076923,42.21511942255513,4.978680497081699,2.6433139594653907
many_moving,baseline,1043,79,1311,99.56962025316456,42.228159116940176,5.105786074123015,2.6729492931107974
many_moving,baseline,1043,80,1338,100.35000000000001,42.24611195582707,5.213477795280233,2.650435680746138
many_moving,baseline,1043,81,1346,99.7037037037037,42.256583128357725,5.243668532627679,2.6878443069074254
many_moving,baseline,1043,82,1373,100.46341463414635,42.27852272101867,5.379727426827587,2.672881119343006
many_moving,baseline,1043,83,1380,99.75903614457832,42.274437305955644,5.456159956639198,2.682005790479034
many_moving,baseline,1043,84,1407,100.5,42.26987526352822,5.576476640333442,2.7019179283416017
many_moving,baseline,1043,85,1414,99.81176470588235,42.273420240696886,5.768968256148011,2.711612742648758
many_moving,baseline,1043,86,1443,100.67441860465117,42.27680248453918,5.956623045211579,2.7247609969082025
many_moving,baseline,1043,87,1448,99.86206896551725,42.29894394265783,6.1463886438531485,2.729661984018581
many_moving,baseline,1043,88,1474,100.50000000000001,42.31773839693314,6.279613818741248,2.7292366798587686
many_moving,baseline,1043,89,1480,99.7752808988764,42.301833341687605,6.403066945765438,2.736632986733583
many_moving,baseline,1043,90,1505,100.33333333333333,42.296754679578065,6.442960972452932,2.7656078188978257
many_moving,baseline,1043,91,1513,99.75824175824177,42.31154967401963,6.465786651934496,2.776204780118595
many_moving,baseline,1043,92,1538,100.30434782608695,42.33061368681088,6.524391596091539,2.781038755867254
many_moving,baseline,1043,93,1545,99.6774193548387,42.378583933938046,6.570100772192674,2.7636771284461448
many_moving,baseline,1043,94,1571,100.27659574468085,42.415612662788824,6.63073687258624,2.767592843691797
many_moving,baseline,1043,95,1577,99.6,42.42783560839733,6.6785389912868025,2.7867477376745655
many_moving,baseline,1043,96,1606,100.37499999999999,42.44702577649355,6.697394994503285,2.776575482982024
many_moving,baseline,1043,97,1613,99.77319587628867,42.46734119914421,6.783082963667668,2.7788604132613655
many_moving,baseline,1043,98,1639,100.34693877551021,42.47498869686483,6.828315583795262,2.7803718627143574
many_moving,baseline,1043,99,1646,99.75757575757576,42.51536107682173,6.7367508179723705,2.7757504270340294
many_moving,baseline,1043,100,1672,100.32,42.5351986309816,6.7167188473366135,2.7883927746954185
many_moving,baseline,1043,101,1682,99.92079207920791,42.54321430239358,6.79531992344156,2.8045337345942953
many_moving,baseline,1043,102,1709,100.52941176470588,42.5522605103713,6.822665093954078,2.793780604673638
many_moving,baseline,1043,103,1715,99.90291262135923,42.54703389410498,6.796616257728448,2.772049691249411
many_moving,baseline,1043,104,1740,100.38461538461539,42.53888699288585,6.81198532774948,2.775817576655281
many_moving,baseline,1043,105,1746,99.77142857142857,42.50963950512713,6.814183858564094,2.7749473511378
many_moving,baseline,1043,106,1776,100.52830188679245,42.486953802929726,6.8068057422832355,2.784922481914413
many_moving,baseline,1043,107,1782,99.9252336448598,42.50579973625217,6.75498628083369,2.780469171118213
many_moving,baseline,1043,108,1809,100.5,42.525994785108246,6.7435986106478945,2.7748458927079978
many_moving,baseline,1043,109,1816,99.96330275229357,42.55364104126419,6.876507978897448,2.7883855327569345
many_moving,baseline,1043,110,1841,100.41818181818182,42.567796741694785,6.95382142083404,2.7902047488779465
many_moving,baseline,1043,111,1851,100.05405405405405,42.576991807088135,6.976503598559497,2.7780955033919636
many_moving,baseline,1043,112,1878,100.60714285714286,42.579916477588135,7.007249214268559,2.767721711129557
many_moving,baseline,1043,113,1884,100.0353982300885,42.57846910978639,7.017123926630781,2.795968722689753
many_moving,baseline,1043,114,1910,100.52631578947368,42.5842907669205,7.016025918674619,2.791071659214821
many_moving,baseline,1043,115,1916,99.96521739130434,42.59392788071671,6.978629194382903,2.787809804511847
many_moving,baseline,1043,116,1946,100.6551724137931,42.610618107808065,6.984344018892309,2.7852878572165345
many_moving,baseline,1043,117,1953,100.15384615384616,42.598758353662994,7.0545442489889085,2.783272410811825
many_moving,baseline,1043,118,1977,100.52542372881356,42.579115134084915,7.095478529082513,2.8019595089007265
many_moving,baseline,1043,119,1984,100.03361344537815,42.55847827559201,7.039180235527497,2.7776794263974236
many_moving,baseline,1043,120,2011,100.55,42.5386942222389,7.017565833634647,2.788728830689679
many_moving,baseline,1043,121,2020,100.16528925619835,42.61188847341055,6.969187937461511,2.7857599301930995
many_moving,baseline,1043,122,2047,100.67213114754098,42.696174653290214,6.928548502830631,2.7633295914269262
many_moving,baseline,1043,123,2053,100.14634146341464,42.779993607149656,6.834436243307342,2.7406185048669927
many_moving,baseline,1043,124,2080,100.64516129032258,42.85265786143361,7.435927946081992,2.6293278800660733
many_moving,baseline,1043,125,2086,100.12799999999999,42.886580411253696,7.406560181431204,2.5298038102617526
many_moving,baseline,1043,126,2115,100.71428571428571,42.92007321274668,7.633218070110381,2.4987526360432657
many_moving,baseline,1043,127,2123,100.2992125984252,42.97895633643814,7.39253488171922,2.4876704931044396
many_moving,baseline,1043,128,2150,100.78125,43.062202577177125,7.6903904409181445,2.4606394049658737
many_moving,baseline,1043,129,2157,100.32558139534883,43.117333097596905,7.611196163953506,2.468863390668142
many_moving,baseline,1043,130,2184,100.80000000000001,43.17863441094587,7.953032435212154,2.4666579497511045
many_moving,baseline,1043,131,2192,100.3969465648855,43.18814831716333,7.957874895584304,2.498633926918509
many_moving,baseline,1043,132,2218,100.81818181818181,43.21510400800979,7.446847092649543,2.4875289695289564
many_moving,baseline,1043,133,2225,100.37593984962406,43.19045531949514,7.4715849200070465,2.445340279580638
many_moving,baseline,1043,134,2249,100.70149253731343,43.21823421741206,7.7845609317091276,2.481763834657463
many_moving,baseline,1043,135,2255,100.22222222222223,43.26842853470129,7.838906838017744,2.5295189126975943
many_moving,baseline,1043,136,2284,100.76470588235294,43.36242639660838,7.5853439883699565,2.556137598099509
many_moving,baseline,1043,137,2291,100.33576642335767,43.53352831490563,7.7440957206643946,2.627116116331722
many_moving,baseline,1043,138,2318,100.78260869565219,43.63771276949183,6.386456941785184,2.57645266151015
many_moving,baseline,1043,139,2324,100.31654676258992,43.683720697816476,5.929906705832459,2.573502384920919
many_moving,baseline,1043,140,2351,100.75714285714285,43.76729353065148,5.900460585636977,2.5568587238911062
many_moving,baseline,1043,141,2358,100.34042553191489,43.92396617552052,5.761381492339088,2.589365135320275
many_moving,baseline,1043,142,2384,100.73239436619718,44.04548797332507,5.891102611319716,2.597739612596363
many_moving,baseline,1043,143,2390,100.27972027972028,44.09016615574588,6.117272682471278,2.588381977364141
many_moving,baseline,1043,144,2416,100.66666666666667,44.15004943133938,6.267446342241665,2.6158373131639294
many_moving,baseline,1043,145,2421,100.17931034482758,44.192457757689674,6.704642604588908,2.622026592640238
many_moving,baseline,1043,146,2448,100.60273972602741,44.22507058009223,5.9328713427521045,2.551647266689114
many_moving,baseline,1043,147,2454,100.16326530612244,44.24482155737492,6.512638752911475,2.568113595623388
many_moving,baseline,1043,148,2480,100.54054054054053,44.25527585091422,6.6911723541528,2.5573651298803903
many_moving,baseline,1043,149,2486,100.10738255033557,44.23928964568011,6.667072110408749,2.5526509872358045
many_moving,baseline,1043,150,2511,100.44,44.248185623049764,6.777739508814682,2.5359235310345647
many_moving,baseline,1043,151,2518,100.05298013245034,44.30404335785519,7.166484345073411,2.550951293239434
many_moving,baseline,1043,152,2542,100.34210526315789,44.34619931263176,7.378449901111408,2.544424192401133
many_moving,baseline,1043,153,2546,99.84313725490196,44.355518905097604,7.434181287132685,2.5187773318528666
many_moving,baseline,1043,154,2573,100.24675324675324,44.38018830196698,6.6053624405923,2.5071531363946025
many_moving,baseline,1043,155,2580,99.87096774193547,44.34848697725791,6.535295720332166,2.4455257931128465
many_moving,baseline,1043,156,2608,100.3076923076923,44.36418541083517,6.677207217762985,2.4360175606352152
many_moving,baseline,1043,157,2616,99.97452229299364,44.40191072338755,6.901339658656552,2.4604730849092564
many_moving,baseline,1043,158,2643,100.36708860759494,44.45297993133266,7.3006801832900035,2.5002719961728417
many_moving,baseline,1043,159,2649,99.9622641509434,44.48396439179393,7.8246369471121735,2.5064181801888425
many_moving,baseline,1043,160,2676,100.35000000000001,44.523014042735355,8.1908051169695,2.5223975516833357
many_moving,baseline,1043,161,2685,100.06211180124224,44.602375296624494,8.643278959608773,2.5659371070152543
many_moving,baseline,1043,162,2713,100.48148148148148,44.69128492545848,9.010864635990876,2.5730960182058604
many_moving,baseline,1043,163,2720,100.12269938650306,44.75497046017604,9.422533706787055,2.615257656738515
many_moving,baseline,1043,164,2745,100.42682926829268,44.83231920952383,9.76146772053897,2.632720498115034
many_moving,baseline,1043,165,2752,100.07272727272726,44.959994840725315,10.123636194809224,2.6274811242819034
many_moving,baseline,1043,166,2781,100.51807228915663,45.06643357012269,10.42269326931007,2.6491944308072433
many_moving,baseline,1043,167,2789,100.20359281437125,45.15917940347117,10.71020764213709,2.620427422886604
many_moving,baseline,1043,168,2815,100.53571428571429,45.27202849462358,11.051914771593662,2.6530496877645087
many_moving,baseline,1043,169,2821,100.15384615384616,45.41088744985224,11.391010616875349,2.67016481733305
many_moving,baseline,1043,170,2847,100.48235294117646,45.54345736072215,11.637178843340624,2.6773399808645797
many_moving,baseline,1043,171,2856,100.21052631578948,45.62871815132254,11.829998317325822,2.699313249424141
many_moving,baseline,1043,172,2884,100.60465116279069,45.76500089172722,15.869422371674213,2.6450160445603976
many_moving,baseline,1043,173,2892,100.30057803468208,45.680306321449,15.3180302154767,2.519766610545469
many_moving,baseline,1043,174,2921,100.72413793103449,45.60403338633911,14.253297115013623,2.3397866954262705
many_moving,baseline,1043,175,2930,100.45714285714286,45.60312371318688,13.856289638286281,2.2063548766702703
many_moving,baseline,1043,176,2958,100.84090909090911,45.5852129950588,13.350642244969965,2.205010550574174
many_moving,baseline,1043,177,2964,100.47457627118642,45.54903304487372,13.039053107650666,2.2090578265024146
many_moving,baseline,1043,178,2992,100.85393258426966,45.5552763333197,12.528265669119982,2.1995436697512476
many_moving,baseline,1043,179,3000,100.55865921787709,45.683136029838195,12.307232251423057,2.2298431767745632
many_moving,baseline,1043,180,3028,100.93333333333334,45.74721061119633,13.253361311682738,2.1729327612556832
many_moving,baseline,1043,181,3037,100.67403314917127,45.763143287450575,12.898073140735743,2.1894063782161113
many_moving,baseline,1043,182,3065,101.04395604395604,45.81999397489284,12.623320039478438,2.2429875132127917
many_moving,baseline,1043,183,3073,100.75409836065575,45.922617547482865,12.59116083700728,2.299924493659974
many_moving,baseline,1043,184,3101,101.11956521739131,46.03461501191733,12.378185020648077,2.3485415978176656
many_moving,baseline,1043,185,3107,100.76756756756755,46.195346755886405,12.179007877977037,2.404617841934654
many_moving,baseline,1043,186,3134,101.09677419354837,46.32901980598346,12.093908295127274,2.4347784543327755
many_moving,baseline,1043,187,3141,100.7807486631016,46.36876384660679,12.0500862331998,2.4352926216951474
many_moving,baseline,1043,188,3168,101.1063829787234,46.397385806054686,11.90508253852766,2.4355583252043065
many_moving,baseline,1043,189,3176,100.82539682539684,46.399667759686906,11.748899667566837,2.4304928656021136
many_moving,baseline,1043,190,3203,101.14736842105263,46.430894031948284,11.688790243557925,2.437021969394169
many_moving,baseline,1043,191,3212,100.90052356020942,46.46687764034268,11.557396466085152,2.4372548431231564
many_moving,baseline,1043,192,3240,101.25,46.517426933986236,11.488199294996484,2.4401691918842587
many_moving,baseline,1043,193,3248,100.97409326424871,46.63444156711564,11.64158017072428,2.4633454566089648
many_moving,baseline,1043,194,3276,101.31958762886599,46.707682775986335,11.708494803309804,2.4743302927023696
many_moving,baseline,1043,195,3283,101.01538461538462,46.73154067199971,11.808987248813539,2.4630532228738278
many_moving,baseline,1043,196,3310,101.3265306122449,46.77778280385417,11.905780806325854,2.510154424105185
