Scenario,Time,Baseline_Tx,Baseline_TxPerNodePerMin,Baseline_RMSE,ETM_Tx,ETM_TxPerNodePerMin,ETM_RMSE,Baseline_MAE,Baseline_RMSE_Aligned,Baseline_MAE_Aligned,Baseline_PairwiseDist_MAE,Baseline_RangeResidual_MAE,Baseline_AngleResidual_MAE,ETM_MAE,ETM_RMSE_Aligned,ETM_MAE_Aligned,ETM_PairwiseDist_MAE,ETM_RangeResidual_MAE,ETM_AngleResidual_MAE
many_moving,0,0,,36.82155104595928,0,,36.82155104595928,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN
many_moving,1,0,0,36.82155104595928,31,186,36.75553919077251,33.64586534768495,18.187917130173428,17.241615522676813,24.44493498974518,NaN,NaN,33.55181456198178,18.086960261525878,17.149669159800517,24.036708162525898,10.152421018594612,1.752240993866939
many_moving,2,32,96,36.75533622654627,76,228,36.70591614874163,33.56529006127265,18.127392054976486,17.182113085755088,24.046031031707138,10.182370869209565,1.8156238064995411,33.46172615534666,18.04573098656679,17.159072790504915,23.692346737700063,9.923443180593097,2.1648654429766134
many_moving,3,46,91.99999999999999,36.70917688725754,122,243.99999999999997,36.6799611638342,33.48025525126827,18.087354746167208,17.197886743357756,23.712574976107447,9.929037019237631,2.1797996657222622,33.41383517262081,18.006652374685363,17.173844899754876,23.25423618138578,9.528412565456156,2.2346661743658123
many_moving,4,79,118.5,36.70584351472433,168,252,36.67986725690155,33.45428440271859,18.028573170993493,17.197712022628956,23.263867571819066,9.511945559530753,2.263273594702285,33.39907360726824,17.932079798090662,17.15733038391699,22.7790762461016,9.061489741253121,2.294787468624971
many_moving,5,92,110.39999999999999,36.704137471628954,215,258,36.71108075942578,33.4127897710719,17.970063947080973,17.193060144327138,22.79809439747919,9.079742246122493,2.3135132848957336,33.40793243443775,17.884986101344534,17.166067315109437,22.291093261869648,8.62958632293295,2.312708228943084
many_moving,6,125,125,36.71881337739863,263,263,36.76952881377946,33.40544148276872,17.896908990251976,17.17500171889682,22.30021394644977,8.614364324485644,2.320294341463178,33.448635577662756,17.884697267608136,17.222889063805628,21.874051505250225,8.228164684833732,2.3157616147130824
many_moving,7,139,119.14285714285714,36.76739271265706,302,258.85714285714283,36.79592757958352,33.44135281892913,17.86326856471131,17.198951435640666,21.84992541543215,8.238020615851346,2.3316181977173858,33.454968187529126,17.84755846867854,17.236236995278784,21.37191110363955,7.786369076845367,2.3081967343671095
many_moving,8,172,129,36.82598897025564,309,231.75,36.86657964080653,33.47518178434335,17.807150817861956,17.19418452386397,21.34520196181828,7.797962997586782,2.3119803875634166,33.48990267841769,17.766399730744833,17.19261661499644,20.866083711586615,7.3043948673160015,2.2781937185431307
many_moving,9,185,123.33333333333334,36.85543900211861,309,206,36.94474462919272,33.47884082871539,17.760932544851205,17.191296123801898,20.84104203403588,7.362971369234552,2.3004771157843673,33.53440858914521,17.715515205513384,17.174321965726342,20.354225380002166,6.836989780131175,2.267346428663285
