Scenario,Time,Nodes,CloudBaseline_RMSE,CloudRobust_RMSE,CoverageBaseline,CoverageRobust
none_moving,0,12,NaN,NaN,0,0
none_moving,1,12,NaN,NaN,0,0
none_moving,2,12,32.22837724635405,32.04048860141982,12,12
none_moving,3,12,32.22837724635405,32.04048860141982,12,12
none_moving,4,12,32.22837724635405,32.04048860141982,12,12
none_moving,5,12,32.22837724635405,32.04048860141982,12,12
none_moving,6,12,32.22837724635405,32.04048860141982,12,12
none_moving,7,12,32.22837724635405,32.04048860141982,12,12
none_moving,8,12,32.22837724635405,32.04048860141982,12,12
none_moving,9,12,32.22837724635405,32.04048860141982,12,12
none_moving,10,12,32.22837724635405,32.04048860141982,12,12
none_moving,11,12,32.22837724635405,32.04048860141982,12,12
none_moving,12,12,32.22837724635405,32.04048860141982,12,12
none_moving,13,12,32.22837724635405,32.04048860141982,12,12
none_moving,14,12,32.22837724635405,32.04048860141982,12,12
none_moving,15,12,32.22837724635405,32.04048860141982,12,12
none_moving,16,12,32.22837724635405,32.04048860141982,12,12
none_moving,17,12,32.22837724635405,32.04048860141982,12,12
none_moving,18,12,32.22837724635405,32.04048860141982,12,12
none_moving,19,12,32.22837724635405,32.04048860141982,12,12
none_moving,20,12,32.22837724635405,32.04048860141982,12,12
none_moving,21,12,32.22837724635405,32.04048860141982,12,12
none_moving,22,12,32.22837724635405,32.04048860141982,12,12
none_moving,23,12,32.22837724635405,32.04048860141982,12,12
none_moving,24,12,32.22837724635405,32.04048860141982,12,12
none_moving,25,12,32.22837724635405,32.04048860141982,12,12
none_moving,26,12,32.22837724635405,32.04048860141982,12,12
none_moving,27,12,32.22837724635405,32.04048860141982,12,12
none_moving,28,12,32.250498409764795,32.15148111038379,12,12
none_moving,29,12,32.250498409764795,32.15148111038379,12,12
none_moving,30,12,32.164052829858676,32.342849881646444,12,12
none_moving,31,12,32.164052829858676,32.342849881646444,12,12
none_moving,32,12,32.15418077868086,32.31125100117491,12,12
none_moving,33,12,32.15418077868086,32.31125100117491,12,12
none_moving,34,12,32.19035011458285,32.773530454932434,12,12
none_moving,35,12,32.19035011458285,32.773530454932434,12,12
none_moving,36,12,32.19035011458285,32.773530454932434,12,12
none_moving,37,12,32.19035011458285,32.773530454932434,12,12
none_moving,38,12,32.19035011458285,32.773530454932434,12,12
none_moving,39,12,32.19035011458285,32.773530454932434,12,12
none_moving,40,12,32.19035011458285,32.773530454932434,12,12
none_moving,41,12,32.19035011458285,32.773530454932434,12,12
none_moving,42,12,32.19035011458285,32.773530454932434,12,12
none_moving,43,12,32.19035011458285,32.773530454932434,12,12
none_moving,44,12,32.23952535466805,32.826880292557654,12,12
none_moving,45,12,32.23952535466805,32.826880292557654,12,12
none_moving,46,12,32.23952535466805,32.826880292557654,12,12
none_moving,47,12,32.23952535466805,32.826880292557654,12,12
none_moving,48,12,32.23952535466805,32.826880292557654,12,12
none_moving,49,12,32.23952535466805,32.826880292557654,12,12
none_moving,50,12,32.23952535466805,32.826880292557654,12,12
none_moving,51,12,32.23952535466805,32.826880292557654,12,12
none_moving,52,12,32.23952535466805,32.826880292557654,12,12
none_moving,53,12,32.23952535466805,32.826880292557654,12,12
none_moving,54,12,32.23952535466805,32.826880292557654,12,12
none_moving,55,12,32.23952535466805,32.826880292557654,12,12
none_moving,56,12,32.23952535466805,32.826880292557654,12,12
none_moving,57,12,32.23952535466805,32.826880292557654,12,12
none_moving,58,12,32.23952535466805,32.826880292557654,12,12
none_moving,59,12,32.23952535466805,32.826880292557654,12,12
none_moving,60,12,32.39074838500384,32.97793953334675,12,12
none_moving,61,12,32.39074838500384,32.97793953334675,12,12
none_moving,62,12,32.39074838500384,32.97793953334675,12,12
none_moving,63,12,32.39074838500384,32.97793953334675,12,12
none_moving,64,12,32.50064421067019,33.07434446309276,12,12
none_moving,65,12,32.50064421067019,33.07434446309276,12,12
none_moving,66,12,32.50064421067019,33.07434446309276,12,12
none_moving,67,12,32.50064421067019,33.07434446309276,12,12
none_moving,68,12,32.50064421067019,33.07434446309276,12,12
none_moving,69,12,32.50064421067019,33.07434446309276,12,12
none_moving,70,12,32.50064421067019,33.07434446309276,12,12
none_moving,71,12,32.50064421067019,33.07434446309276,12,12
none_moving,72,12,32.50064421067019,33.07434446309276,12,12
none_moving,73,12,32.50064421067019,33.07434446309276,12,12
none_moving,74,12,32.509035443423485,33.094375525566335,12,12
none_moving,75,12,32.509035443423485,33.094375525566335,12,12
none_moving,76,12,32.273836774735074,32.86570307833372,12,12
none_moving,77,12,32.273836774735074,32.86570307833372,12,12
none_moving,78,12,32.273836774735074,32.86570307833372,12,12
none_moving,79,12,32.273836774735074,32.86570307833372,12,12
none_moving,80,12,32.273836774735074,32.86570307833372,12,12
none_moving,81,12,32.273836774735074,32.86570307833372,12,12
none_moving,82,12,32.273836774735074,32.86570307833372,12,12
none_moving,83,12,32.273836774735074,32.86570307833372,12,12
none_moving,84,12,32.273836774735074,32.86570307833372,12,12
none_moving,85,12,32.273836774735074,32.86570307833372,12,12
none_moving,86,12,32.273836774735074,32.86570307833372,12,12
none_moving,87,12,32.273836774735074,32.86570307833372,12,12
none_moving,88,12,32.273836774735074,32.86570307833372,12,12
none_moving,89,12,32.273836774735074,32.86570307833372,12,12
none_moving,90,12,32.273836774735074,32.86570307833372,12,12
none_moving,91,12,32.273836774735074,32.86570307833372,12,12
none_moving,92,12,32.04445947864651,32.64048532037431,12,12
none_moving,93,12,32.04445947864651,32.64048532037431,12,12
none_moving,94,12,32.014343928996006,32.61092019362526,12,12
none_moving,95,12,32.014343928996006,32.61092019362526,12,12
none_moving,96,12,32.034765256910774,32.63430177902922,12,12
none_moving,97,12,32.034765256910774,32.63430177902922,12,12
none_moving,98,12,32.034765256910774,32.63430177902922,12,12
none_moving,99,12,32.034765256910774,32.63430177902922,12,12
none_moving,100,12,32.034765256910774,32.63430177902922,12,12
none_moving,101,12,32.034765256910774,32.63430177902922,12,12
none_moving,102,12,32.09102126309043,32.686234500847426,12,12
none_moving,103,12,32.09102126309043,32.686234500847426,12,12
none_moving,104,12,32.25416298731375,32.847421474928176,12,12
none_moving,105,12,32.25416298731375,32.847421474928176,12,12
none_moving,106,12,32.247300306484675,32.82963624969708,12,12
none_moving,107,12,32.247300306484675,32.82963624969708,12,12
none_moving,108,12,32.247300306484675,32.82963624969708,12,12
none_moving,109,12,32.247300306484675,32.82963624969708,12,12
none_moving,110,12,32.247300306484675,32.82963624969708,12,12
none_moving,111,12,32.247300306484675,32.82963624969708,12,12
none_moving,112,12,32.247300306484675,32.82963624969708,12,12
none_moving,113,12,32.247300306484675,32.82963624969708,12,12
none_moving,114,12,32.247300306484675,32.82963624969708,12,12
none_moving,115,12,32.247300306484675,32.82963624969708,12,12
none_moving,116,12,32.247300306484675,32.82963624969708,12,12
none_moving,117,12,32.247300306484675,32.82963624969708,12,12
none_moving,118,12,32.49436901821139,33.072354877185774,12,12
none_moving,119,12,32.49436901821139,33.072354877185774,12,12
none_moving,120,12,32.47526014583183,33.05358015057176,12,12
none_moving,121,12,32.47526014583183,33.05358015057176,12,12
none_moving,122,12,32.47526014583183,33.05358015057176,12,12
none_moving,123,12,32.47526014583183,33.05358015057176,12,12
none_moving,124,12,32.47526014583183,33.05358015057176,12,12
none_moving,125,12,32.47526014583183,33.05358015057176,12,12
none_moving,126,12,32.61239742667826,33.18799216168951,12,12
none_moving,127,12,32.61239742667826,33.18799216168951,12,12
none_moving,128,12,32.61239742667826,33.18799216168951,12,12
none_moving,129,12,32.61239742667826,33.18799216168951,12,12
none_moving,130,12,32.61239742667826,33.18799216168951,12,12
none_moving,131,12,32.61239742667826,33.18799216168951,12,12
none_moving,132,12,32.61239742667826,33.18799216168951,12,12
none_moving,133,12,32.61239742667826,33.18799216168951,12,12
none_moving,134,12,32.46596694151586,33.03986366311116,12,12
none_moving,135,12,32.46596694151586,33.03986366311116,12,12
none_moving,136,12,32.46678536435267,33.04454248733668,12,12
none_moving,137,12,32.46678536435267,33.04454248733668,12,12
none_moving,138,12,32.46517604960994,33.04452383495765,12,12
