time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,18.58248305668259,18.58248305668259,18.58248305668259,100,1,400,0.01,20,1
1,18.58248305668259,18.16405781209547,18.16405781209547,100,1,400,0.01,20,1
2,18.58248305668259,18.03794323036138,18.037701056748602,100,1,400,0.01,20,1
3,18.58248305668259,17.90324701837724,17.902915467531976,100,1,400,0.01,20,1
4,18.58248305668259,18.120633206607824,18.11974429103229,100,1,400,0.01,20,1
5,18.58248305668259,17.923988953796208,17.92527194406583,100,1,400,0.01,20,1
6,18.58248305668259,17.992982862082933,17.99232266452952,100,1,400,0.01,20,1
7,18.58248305668259,18.155910205791503,18.14944614426265,100,1,400,0.01,20,1
8,18.58248305668259,18.20323384020186,18.195181366547352,100,1,400,0.01,20,1
9,18.58248305668259,18.020879417172534,18.026569319218176,100,1,400,0.01,20,1
10,18.58248305668259,17.977662582943225,17.98695331191513,100,1,400,0.01,20,1
11,18.58248305668259,17.970637779115872,17.979747451987322,100,1,400,0.01,20,1
12,18.58248305668259,18.005955301454215,18.0092565168847,100,1,400,0.01,20,1
13,18.58248305668259,18.095598947792414,18.083810997549755,100,1,400,0.01,20,1
14,18.58248305668259,18.292885973125838,18.24456436754956,100,1,400,0.01,20,1
15,18.58248305668259,18.139817768896922,18.128385795646984,100,1,400,0.01,20,1
16,18.58248305668259,17.880032558506056,17.93184245347813,100,1,400,0.01,20,1
17,18.58248305668259,17.831565060635395,17.892348847873265,100,1,400,0.01,20,1
18,18.58248305668259,17.757793470251684,17.835322155580073,100,1,400,0.01,20,1
19,18.58248305668259,17.727538243011242,17.809084050984513,100,1,400,0.01,20,1
20,18.58248305668259,17.664345044780077,17.76121820349898,100,1,400,0.01,20,1
21,18.58248305668259,17.56456813450657,17.689936166462097,100,1,400,0.01,20,1
22,18.58248305668259,17.660322924171794,17.742551202683305,100,1,400,0.01,20,1
23,18.58248305668259,17.724192842793414,17.775270996552003,100,1,400,0.01,20,1
24,18.58248305668259,17.65937928488872,17.73426359032215,100,1,400,0.01,20,1
25,18.58248305668259,17.742588124315578,17.777308723868057,100,1,400,0.01,20,1
26,18.58248305668259,17.810018088268382,17.81163771897682,100,1,400,0.01,20,1
27,18.58248305668259,17.675796253424032,17.740728485759444,100,1,400,0.01,20,1
28,18.58248305668259,17.620572693885304,17.708583197662524,100,1,400,0.01,20,1
29,18.58248305668259,17.791801020398335,17.790212008840353,100,1,400,0.01,20,1
30,18.58248305668259,17.833127610860313,17.811146194409115,100,1,400,0.01,20,1
31,18.58248305668259,18.020192014624637,17.900744314602655,100,1,400,0.01,20,1
32,18.58248305668259,17.970949957486877,17.883286917415028,100,1,400,0.01,20,1
33,18.58248305668259,18.100229763705627,17.944785761464416,100,1,400,0.01,20,1
34,18.58248305668259,18.186876229064858,17.988956122786576,100,1,400,0.01,20,1
35,18.58248305668259,18.016054317322027,17.924550401459143,100,1,400,0.01,20,1
36,18.58248305668259,18.00985104037022,17.925677493547685,100,1,400,0.01,20,1
37,18.58248305668259,18.063759266338355,17.95055039525722,100,1,400,0.01,20,1
38,18.58248305668259,18.011210245277145,17.93418142153281,100,1,400,0.01,20,1
39,18.58248305668259,18.031830730172825,17.944801415513403,100,1,400,0.01,20,1
40,18.58248305668259,17.822781861796503,17.869743665773264,100,1,400,0.01,20,1
41,18.58248305668259,17.77129844429039,17.848949068368636,100,1,400,0.01,20,1
42,18.58248305668259,17.961366642647207,17.91345003902103,100,1,400,0.01,20,1
43,18.58248305668259,17.93824208220467,17.90639113512091,100,1,400,0.01,20,1
44,18.58248305668259,17.779514225172246,17.853584393371808,100,1,400,0.01,20,1
45,18.58248305668259,17.71333835114468,17.828728266231643,100,1,400,0.01,20,1
46,18.58248305668259,17.895187575750956,17.883759202538577,100,1,400,0.01,20,1
47,18.58248305668259,17.956300463717483,17.902793938381137,100,1,400,0.01,20,1
48,18.58248305668259,18.221343740791085,17.987892402356056,100,1,400,0.01,20,1
49,18.58248305668259,18.16917297636618,17.978426414019037,100,1,400,0.01,20,1
50,18.58248305668259,18.151403092703177,17.978886132438177,100,1,400,0.01,20,1
51,18.58248305668259,18.10400530740606,17.970167317649175,100,1,400,0.01,20,1
52,18.58248305668259,18.302637670109696,18.030581087699744,100,1,400,0.01,20,1
53,18.58248305668259,18.40285616720678,18.065691639496936,100,1,400,0.01,20,1
54,18.58248305668259,18.47493407896508,18.09451892942978,100,1,400,0.01,20,1
