node_count,uwb_sigma_m,n_seeds,rmse_aligned_median_m,rmse_aligned_p25_m,rmse_aligned_p75_m,mae_aligned_median_m,mae_aligned_p25_m,mae_aligned_p75_m,pairwise_dist_mae_median_m,pairwise_dist_mae_p25_m,pairwise_dist_mae_p75_m
3,0,5,0.002949760958967737,0.002949760958967737,0.003123682031148809,0.002579782634309889,0.002579782634309889,0.003112855646677791,0.0028038523650041705,0.0028038523650041705,0.005206522916363809
3,0.1,5,0.04914487559675545,0.03863737871660801,0.06184680623920194,0.04378797539476753,0.03507577714504299,0.05945424009073055,0.06337583506568834,0.04634706423205751,0.081928674671925
3,0.2,5,0.08800349900131192,0.06596556343987768,0.12904721184621865,0.08282513290211095,0.0646190746884234,0.1159409655531446,0.1380943931680605,0.07276751585013012,0.18013015169662103
3,0.3,5,0.12120213873365542,0.10108264943009733,0.13476170609136282,0.11911809881002972,0.10075929555906897,0.12254301869874817,0.12813773145931742,0.09764923345858989,0.14058109813565167
3,0.4,5,0.1502364740638756,0.127056473574146,0.1521512090510896,0.1369743048252224,0.10980707779172176,0.14399621074314764,0.1865389522964236,0.1808340992917342,0.2111964564378456
3,0.5,5,0.28633166831954643,0.10381712747753634,0.40537312358891114,0.2764502031147916,0.10163258741411056,0.38379847558311403,0.34317313076576045,0.16771452303810483,0.5729039963246313
3,0.6,5,0.24114683282849478,0.20670367622084462,0.2476464251182492,0.22776677834035688,0.1905018049073457,0.23589932973476815,0.2567799478676965,0.2567355366709319,0.35085360416190287
3,0.7,5,0.3304171025678705,0.23350142056274034,0.4333887339171432,0.3016993329620645,0.21999564422763143,0.41433244273349307,0.3451111409442831,0.3278231905093196,0.6436721934761008
3,0.8,5,0.39408165880067575,0.23962311530085145,0.4428021997886499,0.37235371607000367,0.23573138178813766,0.41651721870113495,0.3670837532412558,0.30486286873237844,0.6172478594145439
3,0.9,5,0.38252929897767024,0.3721121574563759,0.4062853922600401,0.35088875228723587,0.34937477906557163,0.3949921438117685,0.39699052648710637,0.3418808949036283,0.5280957723837254
3,1,5,0.5006971650078378,0.327799494580406,0.5356036905109752,0.4761692824764161,0.32645535781392887,0.5117600319202501,0.531280043484891,0.40551619557687363,0.5889627311799922
3,1.5,5,0.7560649882592057,0.5981976592005702,0.8464287954388283,0.7379951264679434,0.5925766913957752,0.7990860167814912,1.2500657357718967,0.6955082827090125,1.3480789449238995
3,2,5,1.0369431913888507,0.7970765443117587,1.3685377530606169,0.9164548797582484,0.7486867673551418,1.2674399379937753,1.3093340245406928,0.8072125295657931,1.9141346836036977
3,3,5,1.2341784367979405,0.8637123683861114,1.8419312826513679,1.1919961714823804,0.7943081160496707,1.8177406242630119,1.997561395993851,1.2335073345147005,2.4581197351257082
3,4,5,1.3321852486485928,0.9988334558780589,1.6286712024227743,1.3156222999503389,0.9876903270435182,1.593948989862685,1.2518553623014874,0.9740770555303845,2.150559228657117
3,5,5,1.947327007275388,1.5325641891507016,2.2061045735077305,1.8068100196126944,1.426020010379962,2.082822693515559,2.0889894376230735,1.4242253343376727,3.090086416814643
8,0,5,0.001416318043688232,0.0013512887763563607,0.001529561852514775,0.0013343850751614786,0.0011663509522356617,0.0013954292933255651,0.0011858539852061295,0.0011739261384209015,0.0012728228168370176
8,0.1,5,0.03246107625632538,0.030991588896433588,0.03810968053635254,0.031262433607956414,0.026539807376259564,0.03273784400851713,0.032850196801154974,0.030213542736926717,0.03957866826123307
8,0.2,5,0.08255346322109834,0.07524817269384647,0.08794587444713521,0.06992778850330833,0.06436010697810034,0.08380389349268008,0.08732128092309185,0.08426399802107978,0.09078317977607497
8,0.3,5,0.11286604974921602,0.11208073924296413,0.11303809961689411,0.10230462437655068,0.1006886571613912,0.1060577670888133,0.11904290203852821,0.10685393168224877,0.11928783655646805
