node_count,uwb_sigma_m,seed,rmse_aligned_m,mae_aligned_m,pairwise_dist_mae_m
3,0,214,0.0032581232766136664,0.0030223018320051213,0.002644110941108835
3,0.1,214,0.036349493706966544,0.03548316133358756,0.04618420991138924
3,0.2,214,0.10767296163936914,0.09474103362379482,0.13925451096502547
3,0.3,214,0.0989942575435886,0.09832265786574036,0.0851848372337815
3,0.4,214,0.07301020891417805,0.07225249209204015,0.07433406935296934
3,0.5,214,0.19835235565010592,0.1931999519596519,0.3296328512975357
3,0.6,214,0.27785009235009833,0.2588622069086122,0.37358521340773737
3,0.7,214,0.2488165684705337,0.22586818786738663,0.2442202003255313
3,0.8,214,0.2113013584189215,0.1922741509962603,0.32444748341257085
3,0.9,214,0.2899126188378676,0.2867702632391593,0.30756756885852116
3,1,214,0.46090815151496173,0.4255042257950444,0.5628110755807398
3,1.5,214,0.39973738194182984,0.3826419693756112,0.42303564047910197
3,2,214,2.0123002991644725,1.981447938774316,3.441101929669222
3,3,214,0.6337579731049504,0.6220463980663983,0.987878782397703
3,4,214,0.5640341201608031,0.5515188068389174,0.7354785530585511
3,5,214,1.2303029090088566,1.160891335385486,1.663713575911795
3,0,10214,0.0031418948543965727,0.0028403411229662935,0.0035376948528096364
3,0.1,10214,0.02070330153644779,0.019243032516134597,0.030369684342823906
3,0.2,10214,0.04953506823912678,0.04756092165699763,0.05388459292011897
3,0.3,10214,0.1491638549688411,0.1440709875150965,0.1492125246001296
3,0.4,10214,0.2395927840575756,0.22955788934959598,0.26580324144726813
3,0.5,10214,0.17902909361094832,0.1706223093078781,0.28846840263903434
3,0.6,10214,0.13616389375554425,0.12901455323396996,0.18653492268720365
3,0.7,10214,0.2832339248282682,0.2568460906855185,0.2567238453295649
3,0.8,10214,0.2253726426377208,0.22045555455215227,0.2308218107241231
3,0.9,10214,0.31967696060655676,0.30044250649311444,0.4997116668658836
3,1,10214,0.5875835659109195,0.5801290001698861,0.9939946256066984
3,1.5,10214,0.685069244002234,0.6483399266176232,0.8809076856590833
3,2,10214,1.0574333246643501,1.0118842361842566,1.4150617812546038
3,3,10214,1.307749706734759,1.2801987267520853,2.206289429064487
3,4,10214,0.858594838038837,0.8458278989791478,0.9759651181701278
3,5,10214,1.5681274395752896,1.5259422065624009,1.4763433494813754
3,0,20214,0.002980606299789141,0.002795522027562938,0.002459393578038297
3,0.1,20214,0.015985319129181486,0.015484706006559074,0.025324263613850206
3,0.2,20214,0.09135181702410851,0.09046103478518508,0.14892673902116252
3,0.3,20214,0.19985358923183685,0.18885010373810554,0.16327612445780323
3,0.4,20214,0.08060407522239425,0.07427182363722996,0.09810529511964816
3,0.5,20214,0.2799126083257699,0.2727435376302216,0.2979570420597935
3,0.6,20214,0.19018305768712465,0.178656816037149,0.2636169841561345
3,0.7,20214,0.15641724329354073,0.14709575774848926,0.20179810248333396
3,0.8,20214,0.5558719603247468,0.5369238634595077,0.7470627787000849
3,0.9,20214,0.3519177946407395,0.32315917524387533,0.37399654151326445
3,1,20214,0.7190910740405075,0.663913664476799,0.9995217035860465
3,1.5,20214,0.9589853433150395,0.9053230317617524,1.2803636115003936
3,2,20214,0.545430505659318,0.5401198121394665,0.7226567402985135
3,3,20214,0.6042869139542393,0.5963420970135754,0.7253344299688264
3,4,20214,2.10044008198917,1.7670664568435681,2.291221262223067
3,5,20214,2.1773449197275676,2.0538825305580164,3.2813045405727066
3,0,30214,0.002980606299789141,0.002795522027562938,0.002459393578038297
3,0.1,30214,0.06645071220290708,0.06306840740104021,0.10252916196656159
3,0.2,30214,0.07188593856835515,0.07125978911716191,0.08905172974044007
3,0.3,30214,0.07138228594795785,0.06778761787688876,0.11530197173224958
3,0.4,30214,0.11927986318494246,0.1173693385557431,0.1382663822958321
3,0.5,30214,0.23082429915566507,0.20803710971338849,0.24325402943694505
3,0.6,30214,0.16350481725827284,0.15279784044785658,0.14584841999316822
3,0.7,30214,0.20295315588199786,0.19620416714275601,0.23648920117681627
3,0.8,30214,0.3828830905251083,0.32665391957145695,0.5506304306280801
3,0.9,30214,0.5638019952746299,0.5075282495097352,0.6710223348895212
3,1,30214,0.5496050225422966,0.5332036142612785,0.7473643750167428
3,1.5,30214,0.28794566471051,0.24861860995102916,0.3336346950980153
3,2,30214,0.6406211703793906,0.6321372693628241,0.750157401233165
3,3,30214,0.4938343612830313,0.4397981176683267,0.5533543770371535
3,4,30214,1.3132974642161532,1.2333717146466328,1.704310516099408
3,5,30214,1.215070453735336,1.192590413071243,1.484450314763934
3,0,40214,0.0031418948543965727,0.0028403411229662935,0.0035376948528096364
3,0.1,40214,0.038827725445468135,0.036545509482619344,0.04188964328662692
3,0.2,40214,0.14098236317421298,0.13352593639974186,0.2224465035449382
3,0.3,40214,0.09717316139725789,0.09059652083947255,0.11524101479983766
3,0.4,40214,0.11846830620960994,0.11299924216813234,0.1582414318769582
3,0.5,40214,0.1938811651845765,0.1739598806168198,0.2983832721241934
3,0.6,40214,0.23016777546285067,0.21702616458879267,0.3687494008637877
3,0.7,40214,0.2385010639446877,0.231551692903282,0.38039976016680416
