time_s,rmse_gps_m,rmse_kalman_m,rmse_adaptive_m,r_fixed,q_fixed,r_adaptive_init,q_adaptive_init,std,n
45,9.225765915280334,2.105200011019961,2.7090981802142298,100,0.01,10,0.01,10,5
46,9.225765915280334,4.036995533018312,5.025782270273924,100,0.01,10,0.01,10,5
47,9.225765915280334,3.037945309564199,3.682613203750532,100,0.01,10,0.01,10,5
48,9.225765915280334,1.2116298687899938,1.227160057164408,100,0.01,10,0.01,10,5
49,9.225765915280334,2.13513882639348,2.2401778428448424,100,0.01,10,0.01,10,5
50,9.225765915280334,3.47883285761885,4.092589040132955,100,0.01,10,0.01,10,5
51,9.225765915280334,4.502265056582861,5.28007193800182,100,0.01,10,0.01,10,5
52,9.225765915280334,4.099160031482628,4.772435092668281,100,0.01,10,0.01,10,5
53,9.225765915280334,5.0084914372126885,5.801234461289963,100,0.01,10,0.01,10,5
54,9.225765915280334,5.0386581075435695,6.304240819154887,100,0.01,10,0.01,10,5
55,9.225765915280334,4.255843324055125,4.635299300266249,100,0.01,10,0.01,10,5
56,9.225765915280334,3.012286447619802,2.970671922660091,100,0.01,10,0.01,10,5
57,9.225765915280334,2.9685506165642526,3.4116141893637386,100,0.01,10,0.01,10,5
58,9.225765915280334,1.913906553487643,2.180400443703899,100,0.01,10,0.01,10,5
59,9.225765915280334,2.689641125905852,2.4854468610930542,100,0.01,10,0.01,10,5
60,9.225765915280334,2.6799509174082914,2.2114410555368655,100,0.01,10,0.01,10,5
61,9.225765915280334,5.757015286742365,5.693187728634444,100,0.01,10,0.01,10,5
62,9.225765915280334,6.748978098566542,7.15269959739083,100,0.01,10,0.01,10,5
63,9.225765915280334,5.284678483895429,5.854351598640845,100,0.01,10,0.01,10,5
64,9.225765915280334,2.9813737764628776,3.16752775352079,100,0.01,10,0.01,10,5
65,9.225765915280334,1.3663958502687499,1.0563501285142307,100,0.01,10,0.01,10,5
66,9.225765915280334,1.7120221602038121,1.3923270531672343,100,0.01,10,0.01,10,5
67,9.225765915280334,1.777683267486029,2.0645090038174687,100,0.01,10,0.01,10,5
68,9.225765915280334,0.8027825175482873,1.1867698558630908,100,0.01,10,0.01,10,5
69,9.225765915280334,0.7619265634377959,1.099036565884145,100,0.01,10,0.01,10,5
70,9.225765915280334,1.5661332088602178,1.483244978719389,100,0.01,10,0.01,10,5
71,9.225765915280334,1.3595001064797418,1.9688724666277269,100,0.01,10,0.01,10,5
72,9.225765915280334,3.11736570240925,3.848160056316488,100,0.01,10,0.01,10,5
73,9.225765915280334,0.9447645827162284,1.4468454631558052,100,0.01,10,0.01,10,5
74,9.225765915280334,1.345038973409043,1.5217880848851126,100,0.01,10,0.01,10,5
75,9.225765915280334,2.518988320492688,2.4157727988640945,100,0.01,10,0.01,10,5
76,9.225765915280334,3.033534228634554,3.017704748600212,100,0.01,10,0.01,10,5
77,9.225765915280334,2.629808312115046,2.5670719215849553,100,0.01,10,0.01,10,5
78,9.225765915280334,4.514640812035443,4.9375737484042,100,0.01,10,0.01,10,5
79,9.225765915280334,3.641930982691113,3.822450945430694,100,0.01,10,0.01,10,5
80,9.225765915280334,4.607380410644161,4.977779097884096,100,0.01,10,0.01,10,5
81,9.225765915280334,4.624224375553547,4.846295652013022,100,0.01,10,0.01,10,5
82,9.225765915280334,5.9820462124637865,6.5549132671472,100,0.01,10,0.01,10,5
83,9.225765915280334,4.646115795768739,5.106925774600794,100,0.01,10,0.01,10,5
84,9.225765915280334,4.25858584652513,4.620562947273203,100,0.01,10,0.01,10,5
85,9.225765915280334,4.192034526426784,4.538775843175861,100,0.01,10,0.01,10,5
86,9.225765915280334,4.61665176933777,4.968179168828409,100,0.01,10,0.01,10,5
87,9.225765915280334,4.83106885891464,5.163004641190446,100,0.01,10,0.01,10,5
88,9.225765915280334,5.628610910466055,5.988360738848282,100,0.01,10,0.01,10,5
89,9.225765915280334,7.710920112627529,8.262582105779563,100,0.01,10,0.01,10,5
90,9.225765915280334,9.470154346847417,10.033786335055252,100,0.01,10,0.01,10,5
91,9.225765915280334,7.2069093467052205,7.546367333127735,100,0.01,10,0.01,10,5
92,9.225765915280334,5.743607031226269,5.926419877801924,100,0.01,10,0.01,10,5
93,9.225765915280334,7.322583704120253,7.580144952965445,100,0.01,10,0.01,10,5
94,9.225765915280334,7.370649887636574,7.592580809065141,100,0.01,10,0.01,10,5
95,9.225765915280334,8.348975717550815,8.701671851214572,100,0.01,10,0.01,10,5
96,9.225765915280334,8.30695285481335,8.672427125092327,100,0.01,10,0.01,10,5
