time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,29.017322521093995,29.017322521093995,29.017322521093995,100,1,400,0.01,20,0
1,29.017322521093995,29.924706349148213,29.924706349148213,100,1,400,0.01,20,0
2,29.017322521093995,30.021415997633262,30.021630756430753,100,1,400,0.01,20,0
3,29.017322521093995,29.884959745908706,29.884942447605866,100,1,400,0.01,20,0
4,29.017322521093995,29.499929663968864,29.500890737048106,100,1,400,0.01,20,0
5,29.017322521093995,29.154397829777313,29.158628671547508,100,1,400,0.01,20,0
6,29.017322521093995,29.19979250314846,29.20240901335441,100,1,400,0.01,20,0
7,29.017322521093995,29.28030277154625,29.279714763429872,100,1,400,0.01,20,0
8,29.017322521093995,29.47233706509426,29.461723073730255,100,1,400,0.01,20,0
9,29.017322521093995,29.357919203993426,29.356824296166163,100,1,400,0.01,20,0
10,29.017322521093995,29.125979668470098,29.146852145191733,100,1,400,0.01,20,0
11,29.017322521093995,29.276836535436683,29.277867202657635,100,1,400,0.01,20,0
12,29.017322521093995,29.48826822914666,29.45924371087886,100,1,400,0.01,20,0
13,29.017322521093995,29.51942380768182,29.48782064412021,100,1,400,0.01,20,0
14,29.017322521093995,29.211633464679846,29.24172504102115,100,1,400,0.01,20,0
15,29.017322521093995,29.381957931708246,29.372710041341794,100,1,400,0.01,20,0
16,29.017322521093995,29.678517676872236,29.59838961459719,100,1,400,0.01,20,0
17,29.017322521093995,29.661448650354362,29.59179782713479,100,1,400,0.01,20,0
18,29.017322521093995,29.710812923884426,29.631811315061135,100,1,400,0.01,20,0
19,29.017322521093995,29.782730853395048,29.686400807465038,100,1,400,0.01,20,0
20,29.017322521093995,29.71967896109514,29.650901069899312,100,1,400,0.01,20,0
21,29.017322521093995,29.657512198981713,29.61509210382535,100,1,400,0.01,20,0
22,29.017322521093995,29.55028980287339,29.550690770000273,100,1,400,0.01,20,0
23,29.017322521093995,29.619517334936795,29.592590208760427,100,1,400,0.01,20,0
24,29.017322521093995,29.683245860445744,29.631258313637794,100,1,400,0.01,20,0
25,29.017322521093995,29.622037974779843,29.59932451115268,100,1,400,0.01,20,0
26,29.017322521093995,29.622576406238977,29.600862318731377,100,1,400,0.01,20,0
27,29.017322521093995,29.46176165394496,29.516238956005278,100,1,400,0.01,20,0
28,29.017322521093995,29.54033737259388,29.554186172603778,100,1,400,0.01,20,0
29,29.017322521093995,29.425304588603904,29.495801202343014,100,1,400,0.01,20,0
30,29.017322521093995,29.430672163852797,29.49513460606906,100,1,400,0.01,20,0
31,29.017322521093995,29.517127972824863,29.533070305445737,100,1,400,0.01,20,0
32,29.017322521093995,29.330126088396636,29.446420876439824,100,1,400,0.01,20,0
33,29.017322521093995,29.242452735542017,29.40227230626815,100,1,400,0.01,20,0
34,29.017322521093995,29.179377456381726,29.36817823705446,100,1,400,0.01,20,0
35,29.017322521093995,29.328277018403398,29.423632598856983,100,1,400,0.01,20,0
36,29.017322521093995,29.243337642479453,29.384864552335507,100,1,400,0.01,20,0
37,29.017322521093995,29.23717943667417,29.376990007191534,100,1,400,0.01,20,0
38,29.017322521093995,29.352906422569923,29.417067184001326,100,1,400,0.01,20,0
39,29.017322521093995,29.39622103329484,29.43124034742505,100,1,400,0.01,20,0
40,29.017322521093995,29.64806441180223,29.52370874085487,100,1,400,0.01,20,0
41,29.017322521093995,29.732410561574298,29.55866304608985,100,1,400,0.01,20,0
42,29.017322521093995,29.9152681493654,29.628836466292455,100,1,400,0.01,20,0
43,29.017322521093995,29.841766926607082,29.613152318067073,100,1,400,0.01,20,0
44,29.017322521093995,29.83761013854798,29.619190590880898,100,1,400,0.01,20,0
45,29.017322521093995,29.86153028880366,29.63398932309196,100,1,400,0.01,20,0
46,29.017322521093995,29.795683140293573,29.61966543270162,100,1,400,0.01,20,0
47,29.017322521093995,29.78013227563359,29.620064831421153,100,1,400,0.01,20,0
48,29.017322521093995,29.6659906480053,29.589323085372058,100,1,400,0.01,20,0
49,29.017322521093995,29.70985060196183,29.60488999351844,100,1,400,0.01,20,0
50,29.017322521093995,29.57338210263029,29.567250386500977,100,1,400,0.01,20,0
51,29.017322521093995,29.524453332849852,29.553183614396374,100,1,400,0.01,20,0
52,29.017322521093995,29.414767215450944,29.521150091655098,100,1,400,0.01,20,0
53,29.017322521093995,29.363584052741395,29.50399931040674,100,1,400,0.01,20,0
54,29.017322521093995,29.392246651318633,29.508170316984938,100,1,400,0.01,20,0
55,29.017322521093995,29.498635984802263,29.53387757773266,100,1,400,0.01,20,0
56,29.017322521093995,29.52604115119775,29.5401842003965,100,1,400,0.01,20,0
57,29.017322521093995,29.63241087440686,29.567483640250693,100,1,400,0.01,20,0
58,29.017322521093995,29.766103890712113,29.603060188898628,100,1,400,0.01,20,0
59,29.017322521093995,29.852479451059814,29.628371835944495,100,1,400,0.01,20,0
60,29.017322521093995,30.019689638262047,29.674720271868768,100,1,400,0.01,20,0
61,29.017322521093995,30.032126563189507,29.685834379759285,100,1,400,0.01,20,0
62,29.017322521093995,29.861095782433623,29.65303782921274,100,1,400,0.01,20,0
63,29.017322521093995,29.916704629846645,29.670663253064532,100,1,400,0.01,20,0
64,29.017322521093995,30.010677153736488,29.6975128518747,100,1,400,0.01,20,0
65,29.017322521093995,29.791357903486936,29.65465170672815,100,1,400,0.01,20,0
66,29.017322521093995,29.721805846728405,29.642102049404677,100,1,400,0.01,20,0
67,29.017322521093995,29.898075649304513,29.682484735165765,100,1,400,0.01,20,0
68,29.017322521093995,29.77033565759882,29.659266692771617,100,1,400,0.01,20,0
69,29.017322521093995,29.752279819084993,29.657680656278053,100,1,400,0.01,20,0
70,29.017322521093995,29.938704810077482,29.698734161509876,100,1,400,0.01,20,0
71,29.017322521093995,29.918959473459708,29.699376659033142,100,1,400,0.01,20,0
72,29.017322521093995,29.771906491313402,29.673614796938356,100,1,400,0.01,20,0
73,29.017322521093995,29.724428256793477,29.665945598619388,100,1,400,0.01,20,0
74,29.017322521093995,29.8119517536989,29.68443709737994,100,1,400,0.01,20,0
75,29.017322521093995,29.714857183356273,29.667784776945386,100,1,400,0.01,20,0
76,29.017322521093995,29.50083661457693,29.62721435507257,100,1,400,0.01,20,0
77,29.017322521093995,29.565657653446493,29.637278809919938,100,1,400,0.01,20,0
78,29.017322521093995,29.49022139714291,29.62171912408308,100,1,400,0.01,20,0
79,29.017322521093995,29.310975731584993,29.586089580188784,100,1,400,0.01,20,0
80,29.017322521093995,29.303421211302563,29.57990456483052,100,1,400,0.01,20,0
81,29.017322521093995,29.406955022607264,29.59394135553642,100,1,400,0.01,20,0
82,29.017322521093995,29.51323498042239,29.60981057012044,100,1,400,0.01,20,0
83,29.017322521093995,29.404157730904807,29.588849779930104,100,1,400,0.01,20,0
84,29.017322521093995,29.44752380578205,29.593352730796703,100,1,400,0.01,20,0
85,29.017322521093995,29.402999091960353,29.58321359838735,100,1,400,0.01,20,0
86,29.017322521093995,29.545639934032746,29.604740488369952,100,1,400,0.01,20,0
87,29.017322521093995,29.351162440066005,29.57083844824973,100,1,400,0.01,20,0
88,29.017322521093995,29.410949557902303,29.577344742718804,100,1,400,0.01,20,0
89,29.017322521093995,29.224947940744293,29.543913641041627,100,1,400,0.01,20,0
90,29.017322521093995,29.31901465491377,29.554363259137737,100,1,400,0.01,20,0
91,29.017322521093995,29.540302977516657,29.586617782934255,100,1,400,0.01,20,0
92,29.017322521093995,29.555476721745233,29.588354387960006,100,1,400,0.01,20,0
93,29.017322521093995,29.4867679554194,29.57691713088544,100,1,400,0.01,20,0
94,29.017322521093995,29.478039820870745,29.574215655063615,100,1,400,0.01,20,0
95,29.017322521093995,29.669477100409786,29.602611784376553,100,1,400,0.01,20,0
96,29.017322521093995,29.509386922926787,29.578836368266405,100,1,400,0.01,20,0
97,29.017322521093995,29.42378926471752,29.564802861962704,100,1,400,0.01,20,0
98,29.017322521093995,29.23228893530244,29.533715843319143,100,1,400,0.01,20,0
99,29.017322521093995,29.48904124051912,29.567646820547775,100,1,400,0.01,20,0
100,29.017322521093995,29.395593668167344,29.55286492712185,100,1,400,0.01,20,0
101,29.017322521093995,29.538811750991528,29.571635450222402,100,1,400,0.01,20,0
102,29.017322521093995,29.567258357073367,29.57531602027126,100,1,400,0.01,20,0
103,29.017322521093995,29.688884828860562,29.59287429057647,100,1,400,0.01,20,0
104,29.017322521093995,29.88656081190429,29.622563952424997,100,1,400,0.01,20,0
105,29.017322521093995,29.98031403493497,29.63938816442868,100,1,400,0.01,20,0
106,29.017322521093995,30.10171971018113,29.66104776379181,100,1,400,0.01,20,0
107,29.017322521093995,29.880100787091646,29.635936754329776,100,1,400,0.01,20,0
108,29.017322521093995,30.007422710390916,29.656777581235612,100,1,400,0.01,20,0
109,29.017322521093995,29.960546843659053,29.654974033430804,100,1,400,0.01,20,0
110,29.017322521093995,29.813199898829208,29.638817186070963,100,1,400,0.01,20,0
111,29.017322521093995,29.724525261894254,29.62901644135455,100,1,400,0.01,20,0
