time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
23,10.109801844711491,8.821384242833853,9.698840833580714,25,1,100,0.01,10,5
24,10.109801844711491,8.804821398798689,9.609494871627266,25,1,100,0.01,10,5
25,10.109801844711491,9.589227599981646,9.788038458526412,25,1,100,0.01,10,5
26,10.109801844711491,9.653271456829474,9.791559634941743,25,1,100,0.01,10,5
27,10.109801844711491,9.996285322404363,9.893021575587523,25,1,100,0.01,10,5
28,10.109801844711491,9.191626903249814,9.664610078070588,25,1,100,0.01,10,5
29,10.109801844711491,9.159402915918601,9.626485767136348,25,1,100,0.01,10,5
30,10.109801844711491,9.75430584661872,9.757866991466125,25,1,100,0.01,10,5
31,10.109801844711491,10.08419344356635,9.853757218248935,25,1,100,0.01,10,5
32,10.109801844711491,11.008509760167826,10.152397757963234,25,1,100,0.01,10,5
33,10.109801844711491,10.727223218775515,10.183468586152973,25,1,100,0.01,10,5
34,10.109801844711491,9.95815174665688,10.052617204713615,25,1,100,0.01,10,5
35,10.109801844711491,10.851222115393018,10.327903313169278,25,1,100,0.01,10,5
36,10.109801844711491,10.84392971108164,10.415609212814855,25,1,100,0.01,10,5
37,10.109801844711491,9.84415766428111,10.218719699741795,25,1,100,0.01,10,5
38,10.109801844711491,9.699494050229074,10.180693304053761,25,1,100,0.01,10,5
39,10.109801844711491,9.782717211573367,10.187995501687409,25,1,100,0.01,10,5
40,10.109801844711491,8.683934063445658,9.870112916986235,25,1,100,0.01,10,5
41,10.109801844711491,9.228682171017143,9.919276686346995,25,1,100,0.01,10,5
42,10.109801844711491,9.054535961735473,9.799999317487776,25,1,100,0.01,10,5
43,10.109801844711491,8.728591724238953,9.634358083376814,25,1,100,0.01,10,5
44,10.109801844711491,8.6515995583013,9.503597622226847,25,1,100,0.01,10,5
45,10.109801844711491,8.835394785316048,9.4475866648415,25,1,100,0.01,10,5
46,10.109801844711491,8.913570354897498,9.38090154574594,25,1,100,0.01,10,5
47,10.109801844711491,10.041748862665829,9.611957775196121,25,1,100,0.01,10,5
48,10.109801844711491,9.185577165757818,9.379573444643158,25,1,100,0.01,10,5
