scenario,noise_sigma,time_s,baseline_tx_total,baseline_tx_per_node_per_min,baseline_rmse_aligned_m,baseline_mae_aligned_m,icum_tx_total,icum_tx_per_node_per_min,icum_rmse_aligned_m,icum_mae_aligned_m
none_moving,0,19,1137,359.0526315789474,0.009087663017992362,0.004873925082735001,402,126.94736842105264,0.49283719784273516,0.28214219639823107
none_moving,0,20,1198,359.40000000000003,0.005491404884967967,0.003232100062410688,402,120.60000000000001,0.49283719766146733,0.2821421962461403
none_moving,0,21,1259,359.7142857142858,0.005708564940541066,0.003269124479898604,408,116.57142857142857,0.4928371976252134,0.28214219621572345
none_moving,0,22,1320,360,0.004006828569952552,0.002270205580560006,425,115.90909090909092,0.24514982744763103,0.1611853418147259
none_moving,0,23,1381,360.2608695652174,0.001397456020709676,0.0008913756616906659,425,110.8695652173913,0.2265127675173247,0.14418087745508984
none_moving,0,24,1442,360.49999999999994,0.0031055128214442468,0.0019190370436476007,425,106.25,0.2252197344672911,0.14339115414629447
none_moving,0,25,1503,360.72,0.0015198100225790995,0.0008811597568752192,425,102,0.2250645842883743,0.14326840575307517
none_moving,0,26,1564,360.9230769230769,0.0008547156693018114,0.00048030386128388336,425,98.07692307692308,0.22503771492217758,0.14324536611573652
none_moving,0,27,1625,361.1111111111111,0.0015709230472580656,0.0009884342440607927,425,94.44444444444444,0.2250325076065978,0.14324081975915806
none_moving,0,28,1686,361.2857142857143,0.00043110825751982933,0.00025327840998421813,425,91.07142857142857,0.22503147280675648,0.14323991296057584
none_moving,0,29,1747,361.44827586206895,0.0007056988038337966,0.00043830139632639574,425,87.93103448275862,0.2250312661133269,0.14323973169984833
none_moving,0,30,1808,361.6,0.0006951103843111569,0.00043911608862614497,425,85,0.22503122478530255,0.14323969545166357
none_moving,0,31,1869,361.7419354838709,0.0001673511045162347,0.00010316441198198403,425,82.25806451612902,0.22503121652012434,0.1432396882021857
none_moving,0,32,1930,361.875,0.0004530192485706438,0.0002842767907490788,425,79.6875,0.2250312148671055,0.14323968675229548
none_moving,0,33,1991,361.99999999999994,0.0002514093148541904,0.00015884031206806889,425,77.27272727272727,0.22503121453650246,0.1432396864623182
none_moving,0,34,2052,362.11764705882354,0.0001725406857739235,0.00010855474509430768,425,75,0.22503121447038252,0.14323968640432358
none_moving,0,35,2113,362.2285714285714,0.00023999034379314327,0.00015079072199013823,425,72.85714285714285,0.22503121445715757,0.14323968639272228
none_moving,0,36,2174,362.33333333333337,0.00006263772895813888,0.000039200065035829496,431,71.83333333333334,0.22503121445451316,0.1432396863904026
none_moving,0,37,2235,362.4324324324324,0.00013153901166808727,0.00008313438439682141,448,72.64864864864865,0.17719850924114205,0.09701299025420271
none_moving,0,38,2296,362.5263157894737,0.00010622743699095336,0.00006666082810426888,448,70.73684210526315,0.20247934412541405,0.11947395107139633
none_moving,0,39,2357,362.6153846153846,0.00002644498359767306,0.00001652950596332165,448,68.92307692307692,0.20851189257071362,0.12582929663150894
none_moving,0,40,2418,362.70000000000005,0.00007968694103379572,0.000050342954222320375,448,67.2,0.2097509444972838,0.12711328469869754
none_moving,0,41,2479,362.780487804878,0.000037142667935133145,0.000023184628462736144,448,65.5609756097561,0.21000000945586106,0.1273705208568383
none_moving,0,42,2540,362.8571428571429,0.000030045207602029945,0.00001898704443943143,448,64,0.21004987226233565,0.12742198512113537
none_moving,0,43,2601,362.93023255813955,0.00004059035776995138,0.000025614265484669478,448,62.51162790697674,0.21005984681328987,0.12743227865137255
none_moving,0,44,2662,363,0.000008675912369431974,0.0000052738934753725265,448,61.09090909090909,0.21006184180304263,0.12743433738448268
none_moving,0,45,2723,363.06666666666666,0.000022545274754523242,0.00001423724419486931,448,59.73333333333333,0.21006224080417635,0.1274347491321873
none_moving,0,46,2784,363.13043478260863,0.000017317667468614515,0.000010907657999557733,448,58.43478260869564,0.21006232060453003,0.12743483148177176
none_moving,0,47,2845,363.1914893617021,0.000005364494095335448,0.0000033909839854398236,448,57.191489361702125,0.210062336564606,0.1274348479516904
none_moving,0,48,2906,363.25,0.000013380130359595831,0.000008442269214934355,448,55.99999999999999,0.21006233975662184,0.12743485124567397
none_moving,0,49,2967,363.3061224489796,0.0000057446846432395,0.0000035993918498986645,448,54.857142857142854,0.21006234039502514,0.12743485190447046
none_moving,0,50,3028,363.36,0.000005532467167160913,0.000003497715436912148,448,53.75999999999999,0.21006234052270556,0.12743485203623034
none_moving,0,51,3089,363.4117647058823,0.000006661114870470885,0.000004197993394265165,454,53.411764705882355,0.21006234054824183,0.12743485206258204
none_moving,0,52,3150,363.46153846153845,0.000001266366056626844,7.683518420473297e-7,471,54.34615384615385,0.09520522611194629,0.051173205712672046
none_moving,0,53,3211,363.5094339622642,0.000003942152514124901,0.0000024902220655849434,471,53.320754716981135,0.13530683272612892,0.0805275725641815
none_moving,0,54,3272,363.55555555555554,0.00000275560973564287,0.0000017328379820066986,471,52.333333333333336,0.14426391711464454,0.08750929963016445
none_moving,0,55,3333,363.6,0.0000010314176978492155,6.522231500217982e-7,471,51.38181818181818,0.14607916200842416,0.08891342802616939
none_moving,0,56,3394,363.6428571428571,0.000002266080656206504,0.000001430100322136074,471,50.464285714285715,0.1464430912893056,0.08919451361840161
none_moving,0,57,3455,363.6842105263158,8.651815390071677e-7,5.400868606519137e-7,471,49.578947368421055,0.1465159118161938,0.08925074079028818
none_moving,0,58,3516,363.7241379310345,9.938949862359577e-7,6.282191194824996e-7,471,48.724137931034484,0.14653047730413096,0.0892619866241507
none_moving,0,59,3577,363.7627118644068,0.0000010967275121881231,6.912457394428018e-7,471,47.898305084745765,0.14653339045698652,0.0892642358068807
none_moving,0,60,3638,363.8,1.9315724815969913e-7,1.1742049896118704e-7,471,47.1,0.14653397308976765,0.0892646856440653
none_moving,0,61,3699,363.8360655737705,6.811456646888604e-7,4.301572772548586e-7,471,46.32786885245902,0.14653408961641287,0.08926477561152736
none_moving,0,62,3760,363.87096774193543,4.380268955689244e-7,2.753908347132806e-7,471,45.58064516129032,0.14653411292174529,0.08926479360502042
none_moving,0,63,3821,363.9047619047619,1.982817227897232e-7,1.2540427905014785e-7,471,44.857142857142854,0.14653411758281185,0.08926479720371953
none_moving,0,64,3882,363.9375,3.8080970518885613e-7,2.402570270884091e-7,471,44.15625,0.1465341185150251,0.08926479792345934
none_moving,0,65,3943,363.9692307692308,1.2921144900095063e-7,8.047553884993629e-8,471,43.47692307692308,0.14653411870146768,0.0892647980674071
none_moving,0,66,4004,363.99999999999994,1.778495396769228e-7,1.1240286623717083e-7,477,43.36363636363636,0.14653411873875635,0.08926479809619711
none_moving,0,67,4065,364.02985074626866,1.7932674771781726e-7,1.129834416440304e-7,494,44.23880597014925,0.10519114422382903,0.0653924787797758
none_moving,0,68,4126,364.05882352941177,3.2152972661076434e-8,1.982188220495657e-8,494,43.588235294117645,0.15059995795695316,0.09605288179107588
none_moving,0,69,4187,364.0869565217391,1.1732630558415125e-7,7.40861504275247e-8,494,42.95652173913044,0.15985160227893294,0.10238418764095847
none_moving,0,70,4248,364.1142857142857,6.901307311765346e-8,4.335373042144368e-8,494,42.34285714285714,0.1617063299029381,0.1036508554404914
none_moving,0,71,4309,364.14084507042253,3.746069314546278e-8,2.3691280913920605e-8,494,41.74647887323943,0.162077438875831,0.10390420376330034
none_moving,0,72,4370,364.1666666666667,6.378809423086632e-8,4.02387637873204e-8,494,41.166666666666664,0.1621516671153349,0.10395487400769524
none_moving,0,73,4431,364.19178082191786,1.9001455009103743e-8,1.1784639706051568e-8,494,40.6027397260274,0.16216651302029836,0.10396500807968308
none_moving,0,74,4492,364.2162162162162,3.15568892042046e-8,1.9941297160142555e-8,494,40.05405405405405,0.16216948221156843,0.10396703489500414
none_moving,0,75,4553,364.24,2.919662681918956e-8,1.839007085635263e-8,494,39.519999999999996,0.1621700760502324,0.1039674402581047
none_moving,0,76,4614,364.2631578947368,5.871242189934359e-9,3.6736697335838618e-9,494,39,0.16217019481798287,0.103967521330727
none_moving,0,77,4675,364.2857142857143,2.0103650870246163e-8,1.2692531646071768e-8,494,38.49350649350649,0.16217021857153305,0.10396753754525132
none_moving,0,78,4736,364.3076923076923,1.0791712414417008e-8,6.77372800107966e-9,494,38,0.16217022332224343,0.10396754078815693
none_moving,0,79,4797,364.3291139240506,6.989923871031044e-9,4.420208212480283e-9,494,37.51898734177215,0.1621702242723854,0.10396754143673814
none_moving,0,80,4858,364.35,1.0636650389328974e-8,6.708465004753745e-9,494,37.050000000000004,0.16217022446241325,0.10396754156645331
none_moving,0,81,4919,364.3703703703703,2.7574673981735964e-9,1.7005647292197068e-9,500,37.03703703703704,0.1621702245004196,0.10396754159239659
none_moving,0,82,4980,364.390243902439,5.5636381098228184e-9,3.5152768072493014e-9,517,37.829268292682926,0.08812737393572435,0.05457465356848236
none_moving,0,83,5041,364.4096385542169,4.728058876679019e-9,2.9770049537116424e-9,517,37.373493975903614,0.13684374759086784,0.08636843561161227
none_moving,0,84,5102,364.42857142857144,1.1316040709799313e-9,7.131257782915424e-10,517,36.92857142857143,0.1466475631673486,0.09282688357074026
none_moving,0,85,5163,364.44705882352935,3.429549388459386e-9,2.1649473614633734e-9,517,36.49411764705882,0.14860976558207412,0.09411871718933039
none_moving,0,86,5224,364.4651162790698,1.6722434299558513e-9,1.0484761030968814e-9,517,36.06976744186046,0.14900225898313768,0.09437708917075247
none_moving,0,87,5285,364.48275862068965,1.288548183265361e-9,8.14737345544724e-10,517,35.6551724137931,0.149080759745888,0.09442876377374361
none_moving,0,88,5346,364.50000000000006,1.7662071284955806e-9,1.1137127493989254e-9,517,35.25000000000001,0.14909645998147028,0.09443909870258181
none_moving,0,89,5407,364.5168539325843,3.9643496910812984e-10,2.426408004654981e-10,517,34.853932584269664,0.14909960003190564,0.0944411656886798
none_moving,0,90,5468,364.5333333333333,9.748098845810418e-10,6.158306966835609e-10,517,34.46666666666667,0.14910022804212633,0.09444157908591218
none_moving,0,91,5529,364.54945054945057,7.614736792342723e-10,4.792722625757065e-10,517,34.08791208791209,0.14910035364417576,0.09444166176535936
none_moving,0,92,5590,364.5652173913043,2.216584215035899e-10,1.4004869383183788e-10,517,33.71739130434783,0.14910037876458532,0.0944416783012475
none_moving,0,93,5651,364.5806451612903,5.824556680961808e-10,3.6762723724476577e-10,517,33.35483870967742,0.14910038378866763,0.09444168160842667
none_moving,0,94,5712,364.5957446808511,2.565433285345867e-10,1.6062408873496617e-10,517,33,0.14910038479348453,0.09444168226986285
none_moving,0,95,5773,364.61052631578946,2.350463467880781e-10,1.4859922447345052e-10,517,32.65263157894737,0.1491003849944474,0.09444168240214978
none_moving,0,96,5834,364.62499999999994,2.9199059163816393e-10,1.8408167200606474e-10,523,32.68749999999999,0.1491003850346401,0.09444168242860693
none_moving,0,97,5895,364.63917525773195,5.727478606689091e-11,3.478778421205565e-11,540,33.402061855670105,0.09401388526479747,0.059500388173487885
none_moving,0,98,5956,364.6530612244898,1.6983144496145837e-10,1.0727660914262071e-10,540,33.06122448979592,0.1423007523963411,0.09037968406463145
none_moving,0,99,6017,364.6666666666667,1.2191003481675442e-10,7.669615393443325e-11,540,32.72727272727273,0.15197113078790295,0.09660841491758565
none_moving,0,100,6078,364.67999999999995,4.320941828963674e-11,2.73236384921849e-11,540,32.4,0.15390551901607086,0.0978541757753214
