time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
195,22.263598619627594,22.76752029121368,22.629492559644095,100,1,400,0.01,20,5
196,22.263598619627594,22.958174030907433,22.647172798254815,100,1,400,0.01,20,5
197,22.263598619627594,22.82236789295611,22.63797400973042,100,1,400,0.01,20,5
198,22.263598619627594,22.748283516560438,22.632952038874077,100,1,400,0.01,20,5
199,22.263598619627594,22.77778094586292,22.63642562219946,100,1,400,0.01,20,5
200,22.263598619627594,22.778405058462205,22.637539880448863,100,1,400,0.01,20,5
201,22.263598619627594,22.759200399123674,22.636958903257387,100,1,400,0.01,20,5
202,22.263598619627594,22.62385624376767,22.626617727472095,100,1,400,0.01,20,5
203,22.263598619627594,22.761697213056298,22.638322646765545,100,1,400,0.01,20,5
204,22.263598619627594,22.74704103204537,22.638098483529802,100,1,400,0.01,20,5
205,22.263598619627594,22.73316575983814,22.637807961502673,100,1,400,0.01,20,5
206,22.263598619627594,22.95966879425244,22.65756031234264,100,1,400,0.01,20,5
207,22.263598619627594,23.11564153759435,22.67303911884129,100,1,400,0.01,20,5
208,22.263598619627594,23.38996197395617,22.699435595629616,100,1,400,0.01,20,5
209,22.263598619627594,23.324214092025404,22.6994385648025,100,1,400,0.01,20,5
210,22.263598619627594,23.28282309157215,22.700906715351348,100,1,400,0.01,20,5
211,22.263598619627594,23.36976191778308,22.712690739327524,100,1,400,0.01,20,5
212,22.263598619627594,23.286228115802803,22.710858048146704,100,1,400,0.01,20,5
213,22.263598619627594,22.95191901004014,22.687866192547006,100,1,400,0.01,20,5
214,22.263598619627594,22.887011792481808,22.68458787617008,100,1,400,0.01,20,5
215,22.263598619627594,22.780029583844943,22.6774345369119,100,1,400,0.01,20,5
216,22.263598619627594,22.756728476412945,22.676392722730306,100,1,400,0.01,20,5
217,22.263598619627594,22.87111899800975,22.686105638533494,100,1,400,0.01,20,5
218,22.263598619627594,22.754625419318003,22.677870747097607,100,1,400,0.01,20,5
219,22.263598619627594,22.630862617750225,22.668743652542155,100,1,400,0.01,20,5
220,22.263598619627594,22.616653290546633,22.667205791917514,100,1,400,0.01,20,5
221,22.263598619627594,22.45883608611221,22.654245379859702,100,1,400,0.01,20,5
222,22.263598619627594,22.679535997926223,22.67047779407411,100,1,400,0.01,20,5
223,22.263598619627594,22.571466743550516,22.6619366493584,100,1,400,0.01,20,5
224,22.263598619627594,22.570456082595893,22.661015976733875,100,1,400,0.01,20,5
225,22.263598619627594,22.58804252411417,22.66180216919477,100,1,400,0.01,20,5
226,22.263598619627594,22.69890960654376,22.67006920735891,100,1,400,0.01,20,5
227,22.263598619627594,22.763273712779913,22.67533235669799,100,1,400,0.01,20,5
228,22.263598619627594,22.607710915595728,22.663718801807395,100,1,400,0.01,20,5
229,22.263598619627594,22.657854704018963,22.667298986816917,100,1,400,0.01,20,5
230,22.263598619627594,22.583099100829145,22.661362319635824,100,1,400,0.01,20,5
231,22.263598619627594,22.734211065307022,22.67253841274843,100,1,400,0.01,20,5
232,22.263598619627594,22.62256224803202,22.664342363906112,100,1,400,0.01,20,5
233,22.263598619627594,22.50166690011434,22.65459944015476,100,1,400,0.01,20,5
234,22.263598619627594,22.31773881124102,22.639195669074144,100,1,400,0.01,20,5
235,22.263598619627594,22.208557240303495,22.628340646990445,100,1,400,0.01,20,5
236,22.263598619627594,22.16099071839277,22.62166876721516,100,1,400,0.01,20,5
237,22.263598619627594,22.029247914792197,22.608135855950252,100,1,400,0.01,20,5
238,22.263598619627594,21.98596492554551,22.60059617024202,100,1,400,0.01,20,5
239,22.263598619627594,22.051566788483928,22.601098447054625,100,1,400,0.01,20,5
240,22.263598619627594,21.853673063906054,22.582016267383676,100,1,400,0.01,20,5
241,22.263598619627594,21.89251443387045,22.57937958342473,100,1,400,0.01,20,5
242,22.263598619627594,22.011231574120224,22.58315111373504,100,1,400,0.01,20,5
243,22.263598619627594,22.10021711629059,22.58582758480361,100,1,400,0.01,20,5
244,22.263598619627594,22.006992622982352,22.575485501137823,100,1,400,0.01,20,5
245,22.263598619627594,22.10072278465924,22.57844913972962,100,1,400,0.01,20,5
246,22.263598619627594,21.997403996477537,22.567245170570313,100,1,400,0.01,20,5
247,22.263598619627594,22.00030770957961,22.56337890228264,100,1,400,0.01,20,5
248,22.263598619627594,22.044942200667272,22.562680478929074,100,1,400,0.01,20,5
249,22.263598619627594,21.888528801654218,22.547352126647546,100,1,400,0.01,20,5
