time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,14.26495257416124,14.26495257416124,14.26495257416124,100,1,400,0.01,20,2
1,14.26495257416124,14.164532987247805,14.164532987247805,100,1,400,0.01,20,2
2,14.26495257416124,14.373711398693974,14.374135309855477,100,1,400,0.01,20,2
3,14.26495257416124,14.27956193292062,14.279760350314552,100,1,400,0.01,20,2
4,14.26495257416124,14.384157918194287,14.384008127924258,100,1,400,0.01,20,2
5,14.26495257416124,14.59927101705924,14.59688876207709,100,1,400,0.01,20,2
6,14.26495257416124,14.740328791630466,14.73508025272067,100,1,400,0.01,20,2
7,14.26495257416124,14.453892250703465,14.45951163131075,100,1,400,0.01,20,2
8,14.26495257416124,14.366967208921345,14.376366963765767,100,1,400,0.01,20,2
9,14.26495257416124,14.285282031310839,14.29966487421742,100,1,400,0.01,20,2
10,14.26495257416124,14.426403803167123,14.425835357915604,100,1,400,0.01,20,2
11,14.26495257416124,14.760640886765541,14.720728882217365,100,1,400,0.01,20,2
12,14.26495257416124,14.791692438612108,14.751201682523456,100,1,400,0.01,20,2
13,14.26495257416124,14.529139841940134,14.536024554489682,100,1,400,0.01,20,2
14,14.26495257416124,14.44733776463753,14.469330608906652,100,1,400,0.01,20,2
15,14.26495257416124,14.433877139104297,14.456942379913082,100,1,400,0.01,20,2
16,14.26495257416124,14.516516126969709,14.517396875173898,100,1,400,0.01,20,2
17,14.26495257416124,14.545938976756062,14.5391081642422,100,1,400,0.01,20,2
18,14.26495257416124,14.472677756539026,14.4876525647667,100,1,400,0.01,20,2
19,14.26495257416124,14.453753859865284,14.473572226171575,100,1,400,0.01,20,2
20,14.26495257416124,14.637924089780793,14.594831577560235,100,1,400,0.01,20,2
21,14.26495257416124,14.60763398263537,14.57801424015136,100,1,400,0.01,20,2
22,14.26495257416124,14.779961927814618,14.687239968590333,100,1,400,0.01,20,2
23,14.26495257416124,14.678250060438906,14.630784480056722,100,1,400,0.01,20,2
24,14.26495257416124,14.7522039183904,14.676138387353124,100,1,400,0.01,20,2
25,14.26495257416124,14.712445786361004,14.657649985524326,100,1,400,0.01,20,2
26,14.26495257416124,14.535290206226204,14.56373985995809,100,1,400,0.01,20,2
27,14.26495257416124,14.447502858970639,14.514524312829035,100,1,400,0.01,20,2
28,14.26495257416124,14.44365260908158,14.509848906367615,100,1,400,0.01,20,2
29,14.26495257416124,14.279624847198468,14.424774632899585,100,1,400,0.01,20,2
30,14.26495257416124,14.49399986530257,14.522201340878802,100,1,400,0.01,20,2
31,14.26495257416124,14.504309363493974,14.52559524884833,100,1,400,0.01,20,2
32,14.26495257416124,14.62935262616121,14.581819675522668,100,1,400,0.01,20,2
33,14.26495257416124,14.700144123010043,14.615723705564212,100,1,400,0.01,20,2
34,14.26495257416124,14.5188358912364,14.54055455292079,100,1,400,0.01,20,2
35,14.26495257416124,14.57829554610231,14.564813803067622,100,1,400,0.01,20,2
36,14.26495257416124,14.37842435569645,14.482897824769651,100,1,400,0.01,20,2
37,14.26495257416124,14.143121564396347,14.384362841510155,100,1,400,0.01,20,2
38,14.26495257416124,14.175937742069056,14.38834580551724,100,1,400,0.01,20,2
39,14.26495257416124,14.237451332623113,14.404015075452419,100,1,400,0.01,20,2
40,14.26495257416124,14.09956607317783,14.346757480487344,100,1,400,0.01,20,2
41,14.26495257416124,14.074942773319892,14.32928357744387,100,1,400,0.01,20,2
42,14.26495257416124,14.018554091386491,14.300424415706413,100,1,400,0.01,20,2
43,14.26495257416124,14.223294764792657,14.3618403968508,100,1,400,0.01,20,2
44,14.26495257416124,14.177533542142873,14.34213474540622,100,1,400,0.01,20,2
45,14.26495257416124,14.370136273613124,14.400809999341513,100,1,400,0.01,20,2
46,14.26495257416124,14.145233332550136,14.327099890948087,100,1,400,0.01,20,2
47,14.26495257416124,14.00133857037279,14.276004625672467,100,1,400,0.01,20,2
48,14.26495257416124,14.030749721259829,14.276898551045955,100,1,400,0.01,20,2
49,14.26495257416124,14.132148509280494,14.300284162225568,100,1,400,0.01,20,2
50,14.26495257416124,14.01407105313568,14.260346162520605,100,1,400,0.01,20,2
51,14.26495257416124,14.22029641372961,14.313690965000678,100,1,400,0.01,20,2
52,14.26495257416124,14.158129491872613,14.293181007550404,100,1,400,0.01,20,2
53,14.26495257416124,14.218802635207837,14.30608891810549,100,1,400,0.01,20,2
54,14.26495257416124,14.32127258245721,14.332324204528762,100,1,400,0.01,20,2
55,14.26495257416124,14.309366458342367,14.32863858030243,100,1,400,0.01,20,2
56,14.26495257416124,14.302290778338328,14.325326164506142,100,1,400,0.01,20,2
57,14.26495257416124,14.230742631765695,14.306728014040116,100,1,400,0.01,20,2
58,14.26495257416124,14.13699581235702,14.28085670263658,100,1,400,0.01,20,2
59,14.26495257416124,14.0973803123337,14.267401665391885,100,1,400,0.01,20,2
60,14.26495257416124,14.018851360813382,14.244340848821784,100,1,400,0.01,20,2
61,14.26495257416124,13.977919786776846,14.229014727953196,100,1,400,0.01,20,2
62,14.26495257416124,14.290346973909447,14.297369397897434,100,1,400,0.01,20,2
63,14.26495257416124,14.403023036402404,14.323732825871348,100,1,400,0.01,20,2
64,14.26495257416124,14.50845129063708,14.349180409983646,100,1,400,0.01,20,2
65,14.26495257416124,14.5830693809973,14.367550421482086,100,1,400,0.01,20,2
66,14.26495257416124,14.62678923700079,14.382381652128927,100,1,400,0.01,20,2
67,14.26495257416124,14.548488625992213,14.370664523842361,100,1,400,0.01,20,2
68,14.26495257416124,14.794776710408172,14.428028310490676,100,1,400,0.01,20,2
69,14.26495257416124,14.678564747702952,14.410977454432107,100,1,400,0.01,20,2
70,14.26495257416124,14.736070287493718,14.4283987277828,100,1,400,0.01,20,2
71,14.26495257416124,14.521277060171162,14.389732732049879,100,1,400,0.01,20,2
72,14.26495257416124,14.516782862788112,14.391576505479145,100,1,400,0.01,20,2
73,14.26495257416124,14.45881274483775,14.38246240307629,100,1,400,0.01,20,2
74,14.26495257416124,14.565332387775515,14.404176944889928,100,1,400,0.01,20,2
75,14.26495257416124,14.67888948706144,14.429551260104606,100,1,400,0.01,20,2
76,14.26495257416124,14.600874588973493,14.419539202339154,100,1,400,0.01,20,2
77,14.26495257416124,14.735710937618867,14.448647838458292,100,1,400,0.01,20,2
78,14.26495257416124,14.830831382475445,14.471754787068692,100,1,400,0.01,20,2
79,14.26495257416124,14.927492312142968,14.49609293854294,100,1,400,0.01,20,2
80,14.26495257416124,14.937970156233337,14.505503256808991,100,1,400,0.01,20,2
81,14.26495257416124,14.77121351181905,14.482650927238382,100,1,400,0.01,20,2
82,14.26495257416124,14.829182074622802,14.498031216073366,100,1,400,0.01,20,2
83,14.26495257416124,14.707978959206464,14.481884378195472,100,1,400,0.01,20,2
84,14.26495257416124,14.850947013846277,14.51064729836683,100,1,400,0.01,20,2
85,14.26495257416124,14.74026600371321,14.496487173917997,100,1,400,0.01,20,2
86,14.26495257416124,14.644526920561168,14.484162486231261,100,1,400,0.01,20,2
87,14.26495257416124,14.933553499132758,14.53596757535111,100,1,400,0.01,20,2
88,14.26495257416124,14.998778559555223,14.553102439131697,100,1,400,0.01,20,2
89,14.26495257416124,14.819948226020287,14.530740468832063,100,1,400,0.01,20,2
90,14.26495257416124,14.725961712291419,14.519507954854639,100,1,400,0.01,20,2
91,14.26495257416124,14.953174419138326,14.55917791901207,100,1,400,0.01,20,2
92,14.26495257416124,14.901110949568745,14.556520314969985,100,1,400,0.01,20,2
93,14.26495257416124,14.922384004970342,14.564919939180381,100,1,400,0.01,20,2
94,14.26495257416124,14.73730697666177,14.54005630127983,100,1,400,0.01,20,2
95,14.26495257416124,14.734654671651265,14.54220364916016,100,1,400,0.01,20,2
96,14.26495257416124,15.069483098319656,14.595916407297816,100,1,400,0.01,20,2
97,14.26495257416124,14.869070195061523,14.572218559563773,100,1,400,0.01,20,2
98,14.26495257416124,14.892324774103688,14.579273524578737,100,1,400,0.01,20,2
99,14.26495257416124,14.933508606769346,14.589517889915253,100,1,400,0.01,20,2
100,14.26495257416124,14.999683727557143,14.605219688766699,100,1,400,0.01,20,2
101,14.26495257416124,14.918920235285565,14.599221644790532,100,1,400,0.01,20,2
102,14.26495257416124,14.87312083216356,14.596284962057645,100,1,400,0.01,20,2
103,14.26495257416124,14.908688823278473,14.605614725036563,100,1,400,0.01,20,2
104,14.26495257416124,14.865997867555668,14.604120268748263,100,1,400,0.01,20,2
105,14.26495257416124,14.69662909790431,14.583511658864339,100,1,400,0.01,20,2
106,14.26495257416124,14.693975606437554,14.584795342500785,100,1,400,0.01,20,2
107,14.26495257416124,14.682941506363129,14.584060197035674,100,1,400,0.01,20,2
108,14.26495257416124,14.560711507518725,14.567448420742993,100,1,400,0.01,20,2
109,14.26495257416124,14.615024600135106,14.574689962649158,100,1,400,0.01,20,2
110,14.26495257416124,14.628568661984731,14.577793860790939,100,1,400,0.01,20,2
111,14.26495257416124,14.736039078461578,14.592950048051245,100,1,400,0.01,20,2
112,14.26495257416124,14.82894584666512,14.607236154849522,100,1,400,0.01,20,2
113,14.26495257416124,14.810933106835648,14.607419977434258,100,1,400,0.01,20,2
114,14.26495257416124,14.729634109090936,14.599461964530928,100,1,400,0.01,20,2
115,14.26495257416124,14.746723623829933,14.603277260211426,100,1,400,0.01,20,2
116,14.26495257416124,14.73680260271122,14.60402607277171,100,1,400,0.01,20,2
117,14.26495257416124,14.983546809803983,14.636909930088745,100,1,400,0.01,20,2
118,14.26495257416124,14.71445038094403,14.60694163090472,100,1,400,0.01,20,2
119,14.26495257416124,14.56334955933421,14.589179176672959,100,1,400,0.01,20,2
120,14.26495257416124,14.529258620158434,14.58462529884828,100,1,400,0.01,20,2
121,14.26495257416124,14.545610361431565,14.586060802719247,100,1,400,0.01,20,2
122,14.26495257416124,14.454523114315714,14.574225669110225,100,1,400,0.01,20,2
123,14.26495257416124,14.505187644231937,14.579110097404925,100,1,400,0.01,20,2
124,14.26495257416124,14.556193292667489,14.584494074741572,100,1,400,0.01,20,2
125,14.26495257416124,14.686631623961167,14.600026120643795,100,1,400,0.01,20,2
126,14.26495257416124,14.735877936004321,14.60687251426422,100,1,400,0.01,20,2
127,14.26495257416124,14.688259834684207,14.602727609171163,100,1,400,0.01,20,2
128,14.26495257416124,14.807081387868582,14.617928129949746,100,1,400,0.01,20,2
129,14.26495257416124,14.910155720612643,14.63209507282297,100,1,400,0.01,20,2
130,14.26495257416124,14.823300398317475,14.62472588428745,100,1,400,0.01,20,2
131,14.26495257416124,14.620362414293659,14.603101446318336,100,1,400,0.01,20,2
132,14.26495257416124,14.557513451823574,14.596094117387311,100,1,400,0.01,20,2
133,14.26495257416124,14.655896031846837,14.60694393081708,100,1,400,0.01,20,2
134,14.26495257416124,14.743554893590575,14.617755866548457,100,1,400,0.01,20,2
135,14.26495257416124,14.662891970054874,14.609839136567603,100,1,400,0.01,20,2
136,14.26495257416124,14.74680928515481,14.619782192229353,100,1,400,0.01,20,2
137,14.26495257416124,14.68453868754466,14.614038300837713,100,1,400,0.01,20,2
138,14.26495257416124,14.534011755490463,14.597597240719908,100,1,400,0.01,20,2
139,14.26495257416124,14.531683896148241,14.596629147261867,100,1,400,0.01,20,2
140,14.26495257416124,14.683649097048699,14.612603290268336,100,1,400,0.01,20,2
141,14.26495257416124,14.778856092551235,14.624042875709014,100,1,400,0.01,20,2
142,14.26495257416124,14.904557301690394,14.63928279593002,100,1,400,0.01,20,2
143,14.26495257416124,14.912121034221979,14.643080565575508,100,1,400,0.01,20,2
144,14.26495257416124,14.835123049382759,14.637650469709683,100,1,400,0.01,20,2
145,14.26495257416124,14.825254488563136,14.63865893655551,100,1,400,0.01,20,2
146,14.26495257416124,14.796269985127802,14.637029015868677,100,1,400,0.01,20,2
147,14.26495257416124,14.687840052347678,14.62675629535638,100,1,400,0.01,20,2
148,14.26495257416124,14.913541596094845,14.650877047792086,100,1,400,0.01,20,2
149,14.26495257416124,14.951123294069827,14.656123907013619,100,1,400,0.01,20,2
150,14.26495257416124,14.895160896088008,14.653810571753251,100,1,400,0.01,20,2
151,14.26495257416124,14.774718057442971,14.64387580631295,100,1,400,0.01,20,2
152,14.26495257416124,14.610885423890018,14.628144547978016,100,1,400,0.01,20,2
153,14.26495257416124,14.597956295066924,14.626621199625376,100,1,400,0.01,20,2
