time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,7.559676336951404,7.559676336951404,7.559676336951404,100,1,400,0.01,20,4
1,7.559676336951404,7.049688440050508,7.049688440050508,100,1,400,0.01,20,4
2,7.559676336951404,7.720992474760669,7.722371301979127,100,1,400,0.01,20,4
3,7.559676336951404,7.053568483491221,7.053742341406413,100,1,400,0.01,20,4
4,7.559676336951404,7.217282252224183,7.216965527176596,100,1,400,0.01,20,4
5,7.559676336951404,7.54717968639381,7.543605324569858,100,1,400,0.01,20,4
6,7.559676336951404,7.679000975984599,7.673200452293805,100,1,400,0.01,20,4
7,7.559676336951404,7.523248195710066,7.523690924913517,100,1,400,0.01,20,4
8,7.559676336951404,7.387066741266398,7.394649062141298,100,1,400,0.01,20,4
9,7.559676336951404,7.291040995873174,7.304672264187674,100,1,400,0.01,20,4
10,7.559676336951404,7.561967592425436,7.54838345378675,100,1,400,0.01,20,4
11,7.559676336951404,7.415655461577452,7.420651508518336,100,1,400,0.01,20,4
12,7.559676336951404,7.226449680502896,7.257540727189057,100,1,400,0.01,20,4
13,7.559676336951404,7.019359455261162,7.082163745663173,100,1,400,0.01,20,4
14,7.559676336951404,6.7714346572604045,6.875876225149099,100,1,400,0.01,20,4
15,7.559676336951404,6.930625265267922,6.992476270616168,100,1,400,0.01,20,4
16,7.559676336951404,7.021225922401096,7.056222200289885,100,1,400,0.01,20,4
17,7.559676336951404,6.986757088343431,7.027882252263763,100,1,400,0.01,20,4
18,7.559676336951404,7.062901531838361,7.078964555855018,100,1,400,0.01,20,4
19,7.559676336951404,7.083269475543805,7.091825631812813,100,1,400,0.01,20,4
20,7.559676336951404,7.01368149657134,7.042966534157912,100,1,400,0.01,20,4
21,7.559676336951404,7.141262947451916,7.123912839197573,100,1,400,0.01,20,4
22,7.559676336951404,7.104919138526043,7.101224697452097,100,1,400,0.01,20,4
23,7.559676336951404,7.161589738522397,7.136702599103235,100,1,400,0.01,20,4
24,7.559676336951404,6.8744900721481015,6.969514768136639,100,1,400,0.01,20,4
25,7.559676336951404,6.926750835371697,6.994237961671882,100,1,400,0.01,20,4
26,7.559676336951404,6.890693025671861,6.970554444448128,100,1,400,0.01,20,4
27,7.559676336951404,6.932812944053949,6.989465753691422,100,1,400,0.01,20,4
28,7.559676336951404,6.910234511718524,6.974961357644455,100,1,400,0.01,20,4
29,7.559676336951404,6.801989483765698,6.917497986346498,100,1,400,0.01,20,4
30,7.559676336951404,6.713802018483241,6.868511736506315,100,1,400,0.01,20,4
31,7.559676336951404,7.006617647948735,7.000661079156963,100,1,400,0.01,20,4
32,7.559676336951404,6.9109923259286665,6.956944404423139,100,1,400,0.01,20,4
33,7.559676336951404,6.875026523451078,6.937742044855166,100,1,400,0.01,20,4
34,7.559676336951404,6.856009004997925,6.927280106022052,100,1,400,0.01,20,4
35,7.559676336951404,6.713603897709058,6.864343462451174,100,1,400,0.01,20,4
36,7.559676336951404,6.787791545617909,6.8891231109350715,100,1,400,0.01,20,4
37,7.559676336951404,6.6767498831606735,6.840534971716474,100,1,400,0.01,20,4
38,7.559676336951404,6.885325396512133,6.9161084147215925,100,1,400,0.01,20,4
39,7.559676336951404,6.919907040028722,6.927132547493397,100,1,400,0.01,20,4
40,7.559676336951404,6.656046455638946,6.828961594913966,100,1,400,0.01,20,4
41,7.559676336951404,6.752674497138341,6.857360213830877,100,1,400,0.01,20,4
42,7.559676336951404,6.648784792972787,6.817213328044171,100,1,400,0.01,20,4
43,7.559676336951404,6.749543064585859,6.847139467063432,100,1,400,0.01,20,4
44,7.559676336951404,6.642942566354456,6.807759584196551,100,1,400,0.01,20,4
45,7.559676336951404,6.6276178507762165,6.797308197299951,100,1,400,0.01,20,4
46,7.559676336951404,6.622890103834586,6.790463828957262,100,1,400,0.01,20,4
47,7.559676336951404,6.7991431265707005,6.8415425268879435,100,1,400,0.01,20,4
48,7.559676336951404,6.832028336272216,6.850236165119557,100,1,400,0.01,20,4
49,7.559676336951404,6.977898212646169,6.89430727657255,100,1,400,0.01,20,4
50,7.559676336951404,6.848391737501259,6.85734375491525,100,1,400,0.01,20,4
51,7.559676336951404,7.051587462183701,6.91679527932581,100,1,400,0.01,20,4
52,7.559676336951404,7.060697029961791,6.923111380450795,100,1,400,0.01,20,4
53,7.559676336951404,6.971113550292772,6.901332199566868,100,1,400,0.01,20,4
54,7.559676336951404,7.058045019006856,6.926743726053781,100,1,400,0.01,20,4
55,7.559676336951404,7.026194825742562,6.921684684993519,100,1,400,0.01,20,4
56,7.559676336951404,6.951132486042336,6.904623108953154,100,1,400,0.01,20,4
57,7.559676336951404,6.809425639472415,6.869005486362942,100,1,400,0.01,20,4
58,7.559676336951404,7.045619802802681,6.9278616561847235,100,1,400,0.01,20,4
59,7.559676336951404,7.068826412098923,6.935935721082592,100,1,400,0.01,20,4
60,7.559676336951404,6.963765705609353,6.911464237677913,100,1,400,0.01,20,4
61,7.559676336951404,7.000484469976793,6.921691983191482,100,1,400,0.01,20,4
62,7.559676336951404,7.049298412896493,6.935505774075015,100,1,400,0.01,20,4
63,7.559676336951404,6.8988658896517805,6.903528921429177,100,1,400,0.01,20,4
64,7.559676336951404,6.747645947831654,6.8677331318860855,100,1,400,0.01,20,4
65,7.559676336951404,6.857936333945255,6.890882638371345,100,1,400,0.01,20,4
66,7.559676336951404,6.844691409833124,6.887373208526476,100,1,400,0.01,20,4
67,7.559676336951404,6.754335928263982,6.866611665434275,100,1,400,0.01,20,4
68,7.559676336951404,6.80639001935115,6.875348667209109,100,1,400,0.01,20,4
69,7.559676336951404,6.918749896657145,6.898062410399509,100,1,400,0.01,20,4
70,7.559676336951404,6.932292136551262,6.900782771602139,100,1,400,0.01,20,4
71,7.559676336951404,6.911001647246507,6.896181587570056,100,1,400,0.01,20,4
72,7.559676336951404,6.883686302200815,6.8914548440234205,100,1,400,0.01,20,4
73,7.559676336951404,6.9344743617281575,6.901573096698761,100,1,400,0.01,20,4
74,7.559676336951404,7.100504503540478,6.935657174502403,100,1,400,0.01,20,4
75,7.559676336951404,7.2084206147259735,6.959916307096332,100,1,400,0.01,20,4
76,7.559676336951404,7.232101487388831,6.967775186283576,100,1,400,0.01,20,4
77,7.559676336951404,7.037803072452644,6.934886222363342,100,1,400,0.01,20,4
78,7.559676336951404,7.0166119553504975,6.9322646438249125,100,1,400,0.01,20,4
79,7.559676336951404,6.9690063567547895,6.9251031338215325,100,1,400,0.01,20,4
80,7.559676336951404,7.055528476575251,6.942162809877416,100,1,400,0.01,20,4
81,7.559676336951404,7.13645091121681,6.95945758951804,100,1,400,0.01,20,4
82,7.559676336951404,7.090354000808621,6.954371178925588,100,1,400,0.01,20,4
83,7.559676336951404,7.0249759136382295,6.944738180881731,100,1,400,0.01,20,4
84,7.559676336951404,7.0623049295403595,6.9529018561815645,100,1,400,0.01,20,4
85,7.559676336951404,6.955764617098451,6.93613570152009,100,1,400,0.01,20,4
86,7.559676336951404,7.278667721437565,6.991468315076899,100,1,400,0.01,20,4
87,7.559676336951404,7.22062468130809,6.986239128678599,100,1,400,0.01,20,4
88,7.559676336951404,7.407914995708716,7.021738085351418,100,1,400,0.01,20,4
89,7.559676336951404,7.318863989710956,7.012686524126613,100,1,400,0.01,20,4
90,7.559676336951404,7.294328220718856,7.013584814988096,100,1,400,0.01,20,4
91,7.559676336951404,7.1838628953226324,7.000119234169176,100,1,400,0.01,20,4
92,7.559676336951404,7.189467018777774,7.003680911815183,100,1,400,0.01,20,4
93,7.559676336951404,7.091638547184854,6.991008115665227,100,1,400,0.01,20,4
94,7.559676336951404,7.0751269303118045,6.989879127416854,100,1,400,0.01,20,4
95,7.559676336951404,7.048540514109872,6.987084032103185,100,1,400,0.01,20,4
96,7.559676336951404,6.988282205160286,6.978639170594205,100,1,400,0.01,20,4
97,7.559676336951404,6.838384498364953,6.955661703345905,100,1,400,0.01,20,4
98,7.559676336951404,6.924432308283246,6.967211664550235,100,1,400,0.01,20,4
99,7.559676336951404,7.024133975414399,6.981303696361076,100,1,400,0.01,20,4
100,7.559676336951404,6.870596158879288,6.959148900279055,100,1,400,0.01,20,4
101,7.559676336951404,7.007668137046581,6.978216428544257,100,1,400,0.01,20,4
102,7.559676336951404,6.891895310451747,6.961589949329067,100,1,400,0.01,20,4
103,7.559676336951404,6.891551296702265,6.960470975807252,100,1,400,0.01,20,4
104,7.559676336951404,6.859809554189695,6.9551926265260535,100,1,400,0.01,20,4
105,7.559676336951404,6.900631314404444,6.959382070822421,100,1,400,0.01,20,4
