node_count,uwb_sigma_m,seed,rmse_aligned_m,mae_aligned_m,pairwise_dist_mae_m
8,0,211,0.0006626319556942603,0.0005445312238809577,0.0005720727643392218
8,0.1,211,0.03275696553073773,0.03177094575104843,0.0343036538391927
8,0.2,211,0.06547189544232992,0.06350199784077336,0.06856209731882734
8,0.3,211,0.0981452494725189,0.09519357564160717,0.10277514355842494
8,0.4,211,0.13077747887450708,0.12684609172791175,0.1369426095048537
8,0.5,211,0.1633690265196434,0.15845995187110548,0.1710643157905416
8,0.6,211,0.19592032701223655,0.19003555505027,0.20514008660019475
8,0.7,211,0.22843180681514633,0.22157329347689314,0.23916974954537443
8,0.8,211,0.26090388438497025,0.2530735526325728,0.27315313554652726
8,0.9,211,0.29333697031560546,0.2845367113184542,0.30709007872191
8,1,211,0.32573146748916687,0.3159631417153616,0.3409804162829943
8,1.5,211,0.4854283268818751,0.4125053477458376,0.5240778483790053
8,2,211,0.8523611173387815,0.7045694574755792,0.92069650315954
8,3,211,0.956149695892079,0.8934108548284235,0.9720560714534432
8,4,211,1.467626047380165,1.3105451144865623,1.3387289780301541
8,5,211,1.5660518831727104,1.41543637275576,1.3239149006153956
8,0,10211,0.0006626319556942603,0.0005445312238809577,0.0005720727643392218
8,0.1,10211,0.03390787193741654,0.03121407461169693,0.03484823202448089
8,0.2,10211,0.06787564549915881,0.06247904464297259,0.06973463719171727
8,0.3,10211,0.10190459330359025,0.09379441458127408,0.10465590758430221
8,0.4,10211,0.13599632292653893,0.12515981792282332,0.13960850976069814
8,0.5,10211,0.17015285027727248,0.15657505497535412,0.17458866079090266
8,0.6,10211,0.2043766894718386,0.1880401410477943,0.20959230213167326
8,0.7,10211,0.23867096294969684,0.21955536794037478,0.24461507158853582
8,0.8,10211,0.27303953628433997,0.25112138239141146,0.2796522738542655
8,0.9,10211,0.3074871828573309,0.2827392860150299,0.3146988504634654
8,1,10211,0.34201978419288426,0.3144107622547618,0.3497493504948793
8,1.5,10211,0.5812548910139173,0.5199032268208269,0.5983294797249515
8,2,10211,0.7761531231715256,0.6946781254922089,0.8004745466862957
8,3,10211,0.8984832124353068,0.7975655526154071,0.766440968705304
8,4,10211,1.2565570712193115,1.1133481250927098,1.1854279241516346
8,5,10211,2.3922082856858022,2.329087408907447,2.6345484494430593
8,0,20211,0.0006626319556942603,0.0005445312238809577,0.0005720727643392218
8,0.1,20211,0.029603050237134748,0.027623366319689445,0.028836510181056343
8,0.2,20211,0.05920100475525349,0.0552454580752854,0.057669764883482265
8,0.3,20211,0.08879425421543458,0.08286663929137104,0.08649872948932417
8,0.4,20211,0.11838317296609456,0.11048726330354637,0.1153223933982709
8,0.5,20211,0.1479681175514186,0.13810767078596825,0.14413976961808705
8,0.6,20211,0.17754942554396805,0.16572818809208473,0.1729498942894305
8,0.7,20211,0.20712741466573723,0.19334912588123998,0.20175182615714668
8,0.8,20211,0.23670238216378509,0.22097077800423626,0.23054464599916033
8,0.9,20211,0.266274604408513,0.2485934206216126,0.2593274560226508
8,1,20211,0.2958443366852149,0.276217311529747,0.2880993792363521
8,1.5,20211,0.570565493598737,0.48231460113171715,0.6206195323393213
8,2,20211,0.8477456195119948,0.7880669332998003,0.7447526485033286
8,3,20211,0.8014237783504982,0.6965663745627696,0.6349422350578885
8,4,20211,1.082792216657702,0.9607163124172222,0.7724974563089727
