scenario,time_s,node_count,tx_per_node_per_min,rmse_m
none_moving,0,5,0,18.858415076087777
none_moving,1,5,192,6.362156697565363
none_moving,2,5,264,5.957385590860835
none_moving,3,5,240,5.565890562943488
none_moving,4,5,252,5.190435747834535
none_moving,5,5,252,4.837332671449759
none_moving,6,5,252,4.505434990703358
none_moving,7,5,192,4.182645843522109
none_moving,8,5,0,3.8636897576180114
none_moving,9,5,0,3.546440949574594
none_moving,10,5,0,3.230318914155206
none_moving,11,5,0,2.914961080907068
none_moving,12,5,0,2.600159904512166
none_moving,13,5,0,2.2858272732164853
none_moving,14,5,0,1.9719848603060106
none_moving,15,5,0,1.672679495310328
none_moving,16,5,0,1.4029098733686889
none_moving,17,5,0,1.1584805672150151
none_moving,18,5,0,0.9378543226790216
none_moving,19,5,0,0.7687964079970826
none_moving,20,5,0,0.642170544710792
none_moving,21,5,48,0.5503010996879057
none_moving,22,5,84,0.5258028161518539
none_moving,23,5,0,0.6124003203299292
none_moving,24,5,0,0.7228502285364312
none_moving,25,5,0,0.8272876815562915
none_moving,26,5,0,0.9176100883004422
none_moving,27,5,0,0.9930047445502257
none_moving,28,5,36,0.8206987420144892
none_moving,29,5,72,0.5064830929412377
none_moving,30,5,84,0.31192323683110396
none_moving,31,5,60,0.2285909806323287
none_moving,32,5,60,0.19222928870256165
none_moving,33,5,60,0.18967245249120984
none_moving,34,5,48,0.1896900390560285
none_moving,35,5,60,0.1927474312435375
none_moving,36,5,48,0.20952291305969495
none_moving,37,5,84,0.17404462616283015
none_moving,38,5,0,0.17207638397404895
none_moving,39,5,0,0.18876815941699415
none_moving,40,5,0,0.21135789103493374
none_moving,41,5,0,0.23369176090331312
none_moving,42,5,0,0.253576072002794
none_moving,43,5,0,0.2704914474482901
none_moving,44,5,0,0.2845541104762903
none_moving,45,5,0,0.29609541781025855
none_moving,46,5,0,0.3054937480418658
none_moving,47,5,0,0.3131086975291955
none_moving,48,5,0,0.3192578864621612
none_moving,49,5,0,0.32421178932233824
none_moving,50,5,24,0.32819602825099525
none_moving,51,5,24,0.2799539329760721
none_moving,52,5,84,0.19229551366137318
none_moving,53,5,0,0.12533836168293133
none_moving,54,5,0,0.07867073664079811
none_moving,0,10,0,18.49718659901042
none_moving,1,10,204,10.643553755800674
none_moving,2,10,264,10.285505863146463
none_moving,3,10,252,9.914944754638308
none_moving,4,10,264,9.544170829632655
none_moving,5,10,264,9.166776883381765
