node_count,uwb_sigma_m,rmse_aligned_m,mae_aligned_m,pairwise_dist_mae_m
8,0,0.0006626319556942603,0.0005445312238809577,0.0005720727643392218
8,0.1,0.03118000788393624,0.028905423394926896,0.03151595065010477
8,0.2,0.06233645009879171,0.05782937105272497,0.06305468453128552
8,0.3,0.09346975184397674,0.08677171713014158,0.09461531468292003
8,0.4,0.12458032592030083,0.11573232339468059,0.1261325014515623
8,0.5,0.155668572035531,0.14471103939485352,0.15760204270431433
8,0.6,0.1867348762781023,0.173707702655828,0.18904499044481263
8,0.7,0.21777961074044178,0.20272213890480842,0.22046078785126055
8,0.8,0.24880313327437767,0.23175416232790963,0.2518488907728438
8,0.9,0.27980578736205924,0.26080357585834296,0.2832087673722804
8,1,0.3029268434757164,0.2770182055392867,0.26780345915085746
8,1.5,0.4416572850009579,0.39882871130349756,0.39315461524737816
8,2,0.689012449027925,0.637409624868857,0.6756983783310033
8,3,0.9301657276660438,0.8703047421758199,0.9245134232512535
8,4,1.3094862771301927,1.1188589621899112,1.2620784510908942
8,5,1.8212743932120308,1.5632430147149485,1.9607325329095149
