scenario,noise_sigma,time_s,baseline_tx_total,baseline_tx_per_node_per_min,baseline_rmse_aligned_m,baseline_mae_aligned_m,icum_tx_total,icum_tx_per_node_per_min,icum_rmse_aligned_m,icum_mae_aligned_m
none_moving,0,0,0,,18.187917130173428,17.241615522676813,0,,18.187917130173428,17.241615522676813
none_moving,0,1,0,0,18.187917130173428,17.241615522676813,40,240,9.71925545534382,8.671952980516783
none_moving,0,2,40,120,9.71925545534382,8.671952980516783,100,300,9.338903701631319,8.251908408360645
none_moving,0,3,54,108,9.338903701631319,8.251908408360645,161,322,8.93949353512566,7.829126361438341
none_moving,0,4,100,150,8.942347136253842,7.831742875282264,222,333,8.541787711460262,7.408819401737041
none_moving,0,5,114,136.8,8.544469169479086,7.411296399012016,283,339.6,8.149751638438968,6.999642103039619
none_moving,0,6,161,161,8.154433904343602,7.0025855668949415,344,343.99999999999994,7.766169919410198,6.609136313130262
none_moving,0,7,175,150,7.770897587765048,6.61303031465155,396,339.42857142857144,7.390848559320969,6.242343413596089
none_moving,0,8,222,166.5,7.398842253207116,6.249450838380746,402,301.5,7.022234695940272,5.8938744240388194
none_moving,0,9,236,157.33333333333334,7.0284007310400085,5.900624910567252,402,268.00000000000006,6.6629841304946185,5.5641609800667124
none_moving,0,10,283,169.8,6.6645072689101,5.566811339706457,402,241.20000000000002,6.316726627695384,5.256257047150379
none_moving,0,11,297,162,6.301841628895534,5.2429472946171565,402,219.2727272727273,5.981778901480819,4.967244044046627
none_moving,0,12,344,171.99999999999997,5.946975116328617,4.9329046511194345,402,201,5.656506947521076,4.694929208763343
none_moving,0,13,358,165.2307692307692,5.591100658820705,4.627669419876681,402,185.53846153846155,5.339959611001856,4.437994290661186
none_moving,0,14,405,173.57142857142856,5.239853437645369,4.330668271436994,402,172.2857142857143,5.0317342270097924,4.19367217026098
none_moving,0,15,419,167.6,4.887311168143124,4.034778096264554,402,160.8,4.731898131458634,3.958268086053984
none_moving,0,16,466,174.75,4.538443230773871,3.744603181789393,402,150.75,4.44095412363382,3.72933432486841
none_moving,0,17,480,169.41176470588235,4.18866915073562,3.4535676273682556,402,141.8823529411765,4.159842223892155,3.5055995875427834
none_moving,0,18,527,175.66666666666669,3.8428678017996525,3.166899700977642,402,134.00000000000003,3.9019606794082513,3.295476414214943
none_moving,0,19,541,170.84210526315792,3.4996126599146824,2.8812230027378196,402,126.94736842105264,3.6675051338598164,3.099566292709988
none_moving,0,20,588,176.4,3.1656305244120975,2.604976335362397,402,120.60000000000001,3.4608294684002647,2.918994908001679
none_moving,0,21,602,172.00000000000003,2.8339848253237556,2.3300250895150407,408,116.57142857142857,3.285223707024247,2.754308082038377
none_moving,0,22,649,177.00000000000003,2.5247692509083555,2.0720612605403472,425,115.90909090909092,2.9450120741767694,2.425417496044803
none_moving,0,23,663,172.9565217391304,2.229181682395714,1.8217099430275254,425,110.8695652173913,2.650217640074895,2.133641846050082
none_moving,0,24,710,177.5,1.9734736825023256,1.6023551747660156,425,106.25,2.413926839613011,1.898880883583984
none_moving,0,25,724,173.76000000000002,1.7448769688134604,1.4049283940579098,425,102,2.232158186474386,1.7155986956518106
none_moving,0,26,771,177.9230769230769,1.55728082021223,1.240200371642399,425,98.07692307692308,2.0926345772587402,1.5738237095941456
none_moving,0,27,785,174.44444444444443,1.3869236654326085,1.0915601104694437,425,94.44444444444444,1.9856005353080535,1.4649306340658323
none_moving,0,28,832,178.28571428571428,1.2456128463341456,0.9672341103651675,425,91.07142857142857,1.9034144893255804,1.3812629496974176
none_moving,0,29,846,175.03448275862067,1.1148105808150162,0.854292018335277,425,87.93103448275862,1.8401700128351046,1.3167289470465224
none_moving,0,30,893,178.6,1.005445203208151,0.7596612082248895,425,85,1.7913508696130782,1.2668115398140452
none_moving,0,31,907,175.54838709677418,0.9028951035971554,0.6731248391411877,425,82.25806451612902,1.7535295552053123,1.228150430925928
none_moving,0,32,954,178.875,0.8166551343426403,0.6004946405531845,425,79.6875,1.724115372290192,1.1981944681694396
none_moving,0,33,968,175.99999999999997,0.7350650444231756,0.5336451279536835,425,77.27272727272727,1.7011520402590345,1.1749754628084534
none_moving,0,34,1015,179.11764705882354,0.6661665919919701,0.4774422255429986,425,75,1.6831600929269888,1.156962663786673
none_moving,0,35,1029,176.4,0.6005754982923619,0.42539362450117324,425,72.85714285714285,1.6690169134212787,1.142965280894211
none_moving,0,36,1076,179.33333333333334,0.5450243405847389,0.38156164832302125,431,71.83333333333334,1.6578667952428667,1.132061621500877
none_moving,0,37,1090,176.75675675675674,0.4919085070181911,0.3407390708931134,448,72.64864864864865,1.460515033313816,1.0008536046011114
none_moving,0,38,1137,179.5263157894737,0.44682998972274224,0.3063068795599191,448,70.73684210526315,1.3044197780456863,0.8874944599001516
none_moving,0,39,1151,177.07692307692307,0.4035959186300476,0.27407489678286806,448,68.92307692307692,1.1835818221705539,0.7999693523172338
none_moving,0,40,1198,179.70000000000002,0.3668508010140039,0.24684903679461406,448,67.2,1.0903746214218621,0.7332647559694129
none_moving,0,41,1212,177.3658536585366,0.33153391384661196,0.22124788229442166,448,65.5609756097561,1.0186472662325707,0.6843647841157207
none_moving,0,42,1259,179.8571428571429,0.30148738562862215,0.19959450262046702,448,64,0.9634966294126835,0.6499867256021156
none_moving,0,43,1273,177.62790697674419,0.27256563685876295,0.1791532266048867,448,62.51162790697674,0.9210662443252566,0.6251175411194502
none_moving,0,44,1320,180,0.24794255598960932,0.1618437215268284,448,61.09090909090909,0.8883619580985972,0.6065729935839965
none_moving,0,45,1334,177.86666666666667,0.22421648154319213,0.14544774069644434,448,59.73333333333333,0.8630842797364504,0.5925717843512228
